"Binary (literature evidence APID)","cor_val_>=4_[σ]","cor_val_>=5_[σ]","cor_val_[σ]","Count of publications","experimentral System","F_FDR_0.001","F_FDR_0.01","F_FDR_0.05","F_FDR_1e-04","Highlight Novel Stylel In Cytoscape (shows score if published)","Inter-cluster edge","interaction","name","Pubmed Ids","R_FDR_0.001","R_FDR_0.01","R_FDR_0.05","R_FDR_1e-04","score_cor","score_FDR","score_FDR+cor","selected","shared interaction","shared name","source","Source Gene names (SGD/UniProt-primary or ordered locus)","target","Target Gene names  (SGD/UniProt-primary or ordered locus)"
,"false","false","0.053586486","0","","false","true","true","false",,"true","interacts with","YKL063C (interacts with) YDL223C","","false","false","false","false","0","2","2","false","interacts with","YKL063C (interacts with) YDL223C","YKL063C","YKL063C","YDL223C","HBT1"
,"false","false","0.299220821","0","","true","true","true","true",,"true","interacts with","YKL063C (interacts with) YPL036W","","false","false","false","false","0","4","4","false","interacts with","YKL063C (interacts with) YPL036W","YKL063C","YKL063C","YPL036W","PMA2"
,"true","true","5.643326104","0","","false","false","true","false",,"false","interacts with","YKL063C (interacts with) YPL050C","","false","false","true","false","2","2","4","false","interacts with","YKL063C (interacts with) YPL050C","YKL063C","YKL063C","YPL050C","MNN9"
,"true","false","4.572350733","3","Affinity Capture-MS, Affinity Capture-MS, Affinity Capture-MS","true","true","true","true","5","true","interacts with","YJR148W (interacts with) YHR208W","PUBMED:11805826, PUBMED:16429126, PUBMED:16429126","false","false","false","false","1","4","5","false","interacts with","YJR148W (interacts with) YHR208W","YJR148W","BAT2","YHR208W","BAT1"
,"true","true","5.964627457","0","","false","false","false","false",,"false","interacts with","YJR148W (interacts with) YBR035C","","false","false","false","false","2","0","2","false","interacts with","YJR148W (interacts with) YBR035C","YJR148W","BAT2","YBR035C","PDX3"
,"false","false","-0.559016301","0","","false","true","true","false",,"true","interacts with","YJR148W (interacts with) YPR008W","","false","false","false","false","0","2","2","false","interacts with","YJR148W (interacts with) YPR008W","YJR148W","BAT2","YPR008W","HAA1"
,"true","true","6.674211187","0","","false","false","false","false",,"false","interacts with","YJR148W (interacts with) YKL024C","","false","false","false","false","2","0","2","false","interacts with","YJR148W (interacts with) YKL024C","YJR148W","BAT2","YKL024C","URA6"
,"true","true","5.362225222","0","","false","false","false","false",,"false","interacts with","YJR148W (interacts with) YBR286W","","false","false","false","false","2","0","2","false","interacts with","YJR148W (interacts with) YBR286W","YJR148W","BAT2","YBR286W","APE3"
,"true","true","6.992503823","0","","false","false","false","false",,"false","interacts with","YJR148W (interacts with) YLR420W","","false","false","false","false","2","0","2","false","interacts with","YJR148W (interacts with) YLR420W","YJR148W","BAT2","YLR420W","URA4"
,"true","true","7.551287098","0","","false","false","false","false",,"false","interacts with","YJR148W (interacts with) YKR066C","","false","false","false","false","2","0","2","false","interacts with","YJR148W (interacts with) YKR066C","YJR148W","BAT2","YKR066C","CCP1"
,"true","true","9.155798587","0","","false","false","false","false",,"false","interacts with","YJR148W (interacts with) YNL117W","","false","false","false","false","2","0","2","false","interacts with","YJR148W (interacts with) YNL117W","YJR148W","BAT2","YNL117W","MLS1"
,"true","true","5.059964739","0","","false","false","false","false",,"false","interacts with","YJR148W (interacts with) YNL015W","","false","false","false","false","2","0","2","false","interacts with","YJR148W (interacts with) YNL015W","YJR148W","BAT2","YNL015W","PBI2"
,"true","true","5.377295945","0","","false","false","false","false",,"true","interacts with","YJR148W (interacts with) YOR285W","","false","false","false","false","2","0","2","false","interacts with","YJR148W (interacts with) YOR285W","YJR148W","BAT2","YOR285W","RDL1"
,"true","true","5.438874837","0","","false","false","false","false",,"true","interacts with","YJR148W (interacts with) YOR239W","","false","false","false","false","2","0","2","false","interacts with","YJR148W (interacts with) YOR239W","YJR148W","BAT2","YOR239W","ABP140"
,"true","true","5.816833314","0","","false","false","false","false",,"false","interacts with","YJL055W (interacts with) YKL024C","","false","false","false","false","2","0","2","false","interacts with","YJL055W (interacts with) YKL024C","YJL055W","LOG1","YKL024C","URA6"
,"true","true","7.026018562","0","","false","false","false","false",,"false","interacts with","YJL055W (interacts with) YBR035C","","false","false","false","false","2","0","2","false","interacts with","YJL055W (interacts with) YBR035C","YJL055W","LOG1","YBR035C","PDX3"
,"true","true","5.167494064","0","","false","false","false","false",,"false","interacts with","YJL055W (interacts with) YNL015W","","false","false","false","false","2","0","2","false","interacts with","YJL055W (interacts with) YNL015W","YJL055W","LOG1","YNL015W","PBI2"
,"true","true","7.248426284","0","","false","false","false","false",,"false","interacts with","YJL055W (interacts with) YKR066C","","false","false","false","false","2","0","2","false","interacts with","YJL055W (interacts with) YKR066C","YJL055W","LOG1","YKR066C","CCP1"
,"true","true","5.707351061","0","","false","false","false","false",,"true","interacts with","YJL055W (interacts with) YOR285W","","false","false","false","false","2","0","2","false","interacts with","YJL055W (interacts with) YOR285W","YJL055W","LOG1","YOR285W","RDL1"
,"false","false","-0.881678428","0","","false","true","true","false",,"true","interacts with","YKR066C (interacts with) YJL066C","","false","false","false","false","0","2","2","false","interacts with","YKR066C (interacts with) YJL066C","YKR066C","CCP1","YJL066C","MPM1"
,"false","false",,"0","","true","true","true","false",,"true","interacts with","YKR066C (interacts with) YGR027W-A;YGR038C-A;YJR026W;YLR227W-A;YML040W","","false","false","false","false","0","3","3","false","interacts with","YKR066C (interacts with) YGR027W-A;YGR038C-A;YJR026W;YLR227W-A;YML040W","YKR066C","CCP1","YGR027W-A;YGR038C-A;YJR026W;YLR227W-A;YML040W","TY1A-LR3;TY1A-GR2;TY1A-GR1;TY1A-JR1;TY1A-ML2"
,"true","true","5.212376757","0","","false","false","false","false",,"false","interacts with","YKR066C (interacts with) YGL087C","","false","false","false","false","2","0","2","false","interacts with","YKR066C (interacts with) YGL087C","YKR066C","CCP1","YGL087C","MMS2"
,"true","true","9.54083887","0","","false","false","false","false",,"false","interacts with","YKR066C (interacts with) YBR035C","","false","false","false","false","2","0","2","false","interacts with","YKR066C (interacts with) YBR035C","YKR066C","CCP1","YBR035C","PDX3"
,"true","true","7.322839668","0","","false","false","false","false",,"false","interacts with","YKR066C (interacts with) YNL015W","","false","false","false","false","2","0","2","false","interacts with","YKR066C (interacts with) YNL015W","YKR066C","CCP1","YNL015W","PBI2"
,"true","true","5.96257015","0","","false","false","false","false",,"false","interacts with","YKR066C (interacts with) YLR420W","","false","false","false","false","2","0","2","false","interacts with","YKR066C (interacts with) YLR420W","YKR066C","CCP1","YLR420W","URA4"
,"true","true","5.110738835","0","","false","false","false","false",,"false","interacts with","YKR066C (interacts with) YNL134C","","false","false","false","false","2","0","2","false","interacts with","YKR066C (interacts with) YNL134C","YKR066C","CCP1","YNL134C","YNL134C"
,"true","true","9.004972902","0","","false","false","false","false",,"false","interacts with","YKR066C (interacts with) YNL117W","","false","false","false","false","2","0","2","false","interacts with","YKR066C (interacts with) YNL117W","YKR066C","CCP1","YNL117W","MLS1"
,"true","true","8.058179962","0","","false","false","false","false",,"true","interacts with","YKR066C (interacts with) YOR285W","","false","false","false","false","2","0","2","false","interacts with","YKR066C (interacts with) YOR285W","YKR066C","CCP1","YOR285W","RDL1"
,"true","true","5.208002373","0","","false","false","false","false",,"false","interacts with","YKR066C (interacts with) YNR034W-A","","false","false","false","false","2","0","2","false","interacts with","YKR066C (interacts with) YNR034W-A","YKR066C","CCP1","YNR034W-A","EGO4"
,"true","true","5.688664258","0","","false","false","false","false",,"false","interacts with","YKR066C (interacts with) YPL111W","","false","false","false","false","2","0","2","false","interacts with","YKR066C (interacts with) YPL111W","YKR066C","CCP1","YPL111W","CAR1"
,"true","true","5.02903888","0","","false","false","false","false",,"false","interacts with","YKL024C (interacts with) YIR037W","","false","false","false","false","2","0","2","false","interacts with","YKL024C (interacts with) YIR037W","YKL024C","URA6","YIR037W","HYR1"
,"true","true","8.316294345","0","","false","false","false","false",,"false","interacts with","YKL024C (interacts with) YBR035C","","false","false","false","false","2","0","2","false","interacts with","YKL024C (interacts with) YBR035C","YKL024C","URA6","YBR035C","PDX3"
,"true","true","7.130397992","0","","false","false","false","false",,"false","interacts with","YKL024C (interacts with) YLR420W","","false","false","false","false","2","0","2","false","interacts with","YKL024C (interacts with) YLR420W","YKL024C","URA6","YLR420W","URA4"
,"true","true","9.009159781","0","","false","false","false","false",,"false","interacts with","YKL024C (interacts with) YKR066C","","false","false","false","false","2","0","2","false","interacts with","YKL024C (interacts with) YKR066C","YKL024C","URA6","YKR066C","CCP1"
,"true","true","7.847624756","0","","false","false","false","false",,"false","interacts with","YKL024C (interacts with) YNL015W","","false","false","false","false","2","0","2","false","interacts with","YKL024C (interacts with) YNL015W","YKL024C","URA6","YNL015W","PBI2"
,"true","true","5.385885715","0","","false","false","false","false",,"true","interacts with","YKL024C (interacts with) YML022W","","false","false","false","false","2","0","2","false","interacts with","YKL024C (interacts with) YML022W","YKL024C","URA6","YML022W","APT1"
,"true","true","6.990100036","0","","false","false","false","false",,"false","interacts with","YKL024C (interacts with) YNL117W","","false","false","false","false","2","0","2","false","interacts with","YKL024C (interacts with) YNL117W","YKL024C","URA6","YNL117W","MLS1"
,"true","true","5.379380456","0","","false","false","false","false",,"true","interacts with","YKL024C (interacts with) YNL104C","","false","false","false","false","2","0","2","false","interacts with","YKL024C (interacts with) YNL104C","YKL024C","URA6","YNL104C","LEU4"
,"true","true","5.973188891","0","","false","false","false","false",,"true","interacts with","YKL024C (interacts with) YOR285W","","false","false","false","false","2","0","2","false","interacts with","YKL024C (interacts with) YOR285W","YKL024C","URA6","YOR285W","RDL1"
,"true","true","5.458218529","0","","false","false","false","false",,"true","interacts with","YKL024C (interacts with) YOR239W","","false","false","false","false","2","0","2","false","interacts with","YKL024C (interacts with) YOR239W","YKL024C","URA6","YOR239W","ABP140"
,"false","false","1.278078385","0","","true","true","true","true",,"true","interacts with","YNL015W (interacts with) YEL060C","","false","false","false","false","0","4","4","false","interacts with","YNL015W (interacts with) YEL060C","YNL015W","PBI2","YEL060C","PRB1"
,"false","false","2.371199795","1","Affinity Capture-MS","true","true","true","true","8","true","interacts with","YNL015W (interacts with) YOR168W","PUBMED:16554755","true","true","true","true","0","8","8","false","interacts with","YNL015W (interacts with) YOR168W","YNL015W","PBI2","YOR168W","GLN4"
,"false","false","-0.472868278","0","","false","true","true","false",,"true","interacts with","YNL015W (interacts with) YER175C","","false","false","false","false","0","2","2","false","interacts with","YNL015W (interacts with) YER175C","YNL015W","PBI2","YER175C","TMT1"
,"true","true","6.132046641","0","","false","false","false","false",,"false","interacts with","YNL015W (interacts with) YNL117W","","false","false","false","false","2","0","2","false","interacts with","YNL015W (interacts with) YNL117W","YNL015W","PBI2","YNL117W","MLS1"
,"true","true","7.281359072","0","","false","false","false","false",,"false","interacts with","YNL015W (interacts with) YBR035C","","false","false","false","false","2","0","2","false","interacts with","YNL015W (interacts with) YBR035C","YNL015W","PBI2","YBR035C","PDX3"
,"false","false","3.864268154","0","","false","true","true","false",,"false","interacts with","YLR420W (interacts with) YGL087C","","false","false","false","false","0","2","2","false","interacts with","YLR420W (interacts with) YGL087C","YLR420W","URA4","YGL087C","MMS2"
,"true","true","5.110962341","0","","false","false","false","false",,"true","interacts with","YLR420W (interacts with) YEL071W","","false","false","false","false","2","0","2","false","interacts with","YLR420W (interacts with) YEL071W","YLR420W","URA4","YEL071W","DLD3"
,"true","true","5.421805272","0","","false","false","false","false",,"false","interacts with","YLR420W (interacts with) YBR035C","","false","false","false","false","2","0","2","false","interacts with","YLR420W (interacts with) YBR035C","YLR420W","URA4","YBR035C","PDX3"
,"true","true","6.679611893","0","","false","false","false","false",,"true","interacts with","YLR420W (interacts with) YNL104C","","false","false","false","false","2","0","2","false","interacts with","YLR420W (interacts with) YNL104C","YLR420W","URA4","YNL104C","LEU4"
,"true","true","5.427300065","0","","false","false","false","false",,"false","interacts with","YLR420W (interacts with) YNL015W","","false","false","false","false","2","0","2","false","interacts with","YLR420W (interacts with) YNL015W","YLR420W","URA4","YNL015W","PBI2"
,"true","true","6.777950139","0","","false","false","false","false",,"false","interacts with","YLR420W (interacts with) YNL117W","","false","false","false","false","2","0","2","false","interacts with","YLR420W (interacts with) YNL117W","YLR420W","URA4","YNL117W","MLS1"
