ID,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality,load_centrality,pagerank,information_centrality,_wkshell
YKL063C,0.005094243504839531,0.002601783367763631,7.195576535944085e-05,0.25965207550761754,0.0025630746359255265,0.0003555974791229576,0.0005703352197131697,318
YDL223C,0.014518593988792664,0.014034696092025028,0.0005359293910904574,0.30287152817929236,0.014290818897974738,0.0014692769384133872,0.0006189494854012185,547
YPL036W,0.029801324503311258,0.05916617709451378,0.004472180229877543,0.3269123020898383,0.0588262995903807,0.003300040822149882,0.0006348958761610811,748
YPL050C,0.00738665308201732,0.000732289435395511,7.5911926202253795e-06,0.24582143032726686,0.0007430205414848294,0.00047055242946314067,0.0005896393532643195,348
YJR148W,0.00815078960774325,0.0025247582084294493,9.296505275942383e-05,0.27786214108606044,0.0026415032103035713,0.0006451133496717924,0.000599726432398191,391
YHR208W,0.004075394803871625,0.0007262629204662625,0.00024372261432644514,0.2650072390934506,0.0007162337373031148,0.0002954277166731285,0.000558249878626893,301
YBR035C,0.011462047885888945,0.0018711138403389605,0.00012726267397549317,0.28218806340892555,0.0017118018872810813,0.0008790693112762499,0.0006125845434881619,472
YPR008W,0.007131940906775344,0.00877682995756648,0.0033759834764529226,0.2933290978879739,0.009229726117308079,0.0006242917841664604,0.0005904765075140928,391
YKL024C,0.012990320937340805,0.003455678535726949,0.0001606304953612446,0.2817642303308106,0.0033228026859782314,0.0010680589036454191,0.0006153080303397356,510
YBR286W,0.002292409577177789,1.4813560043298433e-06,2.2851504989498143e-05,0.24449188655578483,1.8252550704602199e-06,0.0001931826649976138,0.0005034049659508801,176
YLR420W,0.008405501782985226,0.0017543546032781892,0.00016154063098346088,0.2770414598748485,0.0017229596415464165,0.0006883616960297415,0.0005988684941973401,394
YKR066C,0.0163015792154865,0.011961329148163292,0.0004887552720643797,0.2984387918457742,0.011529012090759393,0.0012987333418716092,0.0006235732025158908,585
YNL117W,0.010443199184921039,0.0015823092705397252,0.00014365734929624075,0.2812783935141371,0.0013407362545764967,0.0007946068038492151,0.0006092003639935286,456
YNL015W,0.00815078960774325,0.0026110153844265626,0.00013076733977983697,0.2737666903382031,0.002646706703167993,0.0006449372658150581,0.0005986424189267217,394
YOR285W,0.007131940906775344,0.0018574634786503329,0.00010710283248570859,0.2742068618786139,0.0019430807637532274,0.0005699856364032481,0.0005918500230815464,351
YOR239W,0.0028018339276617422,0.0022317068860326647,3.590863102692043e-05,0.2592931921966188,0.002220656524555746,0.0003264549092194828,0.0005110798197867981,159
YJL055W,0.002292409577177789,5.955054228212565e-08,2.513514540641666e-05,0.24159513786768022,5.81349444554405e-08,0.00019407898877158632,0.0005040280968399436,182
YJL066C,0.004839531329597555,0.003050996210523862,0.00011859783430380492,0.26656998160462336,0.0031014123112405685,0.0004704138143450513,0.0005537524125144489,249
YGR027W-A;YGR038C-A;YJR026W;YLR227W-A;YML040W,0.032603158430973,0.06313278408707154,0.0007534761100679616,0.323028195530355,0.06330572974003636,0.004338532729463858,0.000635104205320961,759
YGL087C,0.0005094243504839531,0.0,8.90033582016311e-06,0.23064932016260367,0.0,7.327816749344877e-05,0.0002849974304763002,50
YNL134C,0.0025471217524197657,0.0006271642718461126,0.00010513639028377535,0.2682471216905036,0.000632988162691359,0.00021038813486067882,0.0005173208400058732,192
YNR034W-A,0.0010188487009679063,0.0,1.5191269810458664e-05,0.23949779720956682,0.0,0.00010845142900085296,0.0003940568471178969,103
YPL111W,0.003056546102903719,0.00046880641837009193,2.8810334119593182e-05,0.2556013686957609,0.00048493807731902463,0.000258591350130561,0.0005310780254496147,189
YIR037W,0.00025471217524197657,0.0,2.192985019258332e-06,0.21873564339095633,0.0,5.604779518337505e-05,0.0001830763404296907,26
YML022W,0.0007641365257259297,0.0005400242630206934,2.4798539348983015e-05,0.2468890235628791,0.0005420856746541873,0.00014159938461580585,0.0002873249956770714,83
YNL104C,0.0025471217524197657,0.000331179616968912,9.312120792740129e-06,0.2459019852592131,0.0003573535342773079,0.0002571187948581231,0.0005020285474591567,137
YEL060C,0.004075394803871625,0.0031042448605405736,0.0003910944386031764,0.2789985493073374,0.0034150492018320306,0.0003965501087384773,0.0005548097087066505,177
YOR168W,0.0056036678553234845,0.0011418032610020416,0.0007345127405045265,0.2675775560608382,0.0011787259714755248,0.00040588315690277983,0.0005784793567221365,349
YER175C,0.0010188487009679063,0.0006613677473061571,1.9558775633531164e-06,0.21685195301612956,0.0007027445091113925,0.00022688710590863944,0.0002836186757117678,23
YEL071W,0.0015282730514518594,0.0003818257921445671,5.832837912697149e-05,0.24490682056691085,0.0004329266578111611,0.00014556399912949819,0.0004399039600718046,102
YBR222C,0.001782985226693836,0.0006759182156860965,2.022401393088681e-05,0.25008148310904976,0.0006680395001263433,0.00019049032623573464,0.0004741251032303189,135
YOR323C,0.002292409577177789,0.000549932827423156,1.3940587227431407e-05,0.24859023991817886,0.000566526115791237,0.0002205406653445963,0.0004976670449430489,141
YBL037W,0.0012735608762098828,0.0008967774654925401,7.177556400796173e-06,0.23315762435278858,0.0009499011965851076,0.00019239811328746118,0.000363432685076481,76
YOL062C,0.0005094243504839531,0.0,1.5362841671615726e-07,0.18912104899869317,0.0,0.00010552412582251846,0.0002234847923273034,7
YJR005W,0.0010188487009679063,0.00011473164836449966,4.087460238050416e-06,0.20654954533911776,0.00015190977743992387,0.00016235905512531568,0.00031726270996873567,31
YLR352W,0.003056546102903719,0.0013327222928889888,1.8828421698889316e-05,0.2551841454863003,0.0014535598905086532,0.00035234544523788844,0.0005218175766841513,110
YNL059C,0.006622516556291391,0.006353657487910043,0.0004978793607020358,0.29051277515176727,0.006564958633570607,0.0004377995185246282,0.0005909346053197603,383
YBL024W,0.0005094243504839531,9.968878160950701e-05,3.7681931733747746e-05,0.21305919881232674,0.00011696626007845574,8.746640649645113e-05,0.0002564307265504888,21
YDR356W,0.010188487009679063,0.0043120413273871295,0.0008020836847054009,0.29223245510437523,0.004262469566095127,0.0006267767437982687,0.0006122334167695326,488
YBR149W,0.020376974019358125,0.01579873893453527,0.00046648112868675947,0.303018291962936,0.015076850289379426,0.001685071168687401,0.0006286438817093663,642
YDR037W,0.018848700967906265,0.0077543873282296125,0.004353134111927817,0.30265164887352375,0.007203952142249113,0.001144445951899615,0.0006295038746816933,638
YLR421C,0.010188487009679063,0.0020501251329763538,0.00013927290974202937,0.2675012470472746,0.0022115736355168957,0.00046678155353104326,0.0006040427305080038,565
YFL048C,0.01477330616403464,0.007852203278298523,0.0008805686368464546,0.2895040502380459,0.00672791544091617,0.0009178274020090472,0.0006240819127746384,577
YDR270W,0.006877228731533368,0.0024904315478719214,0.0007060359677831556,0.2784188550820031,0.0024691788582549648,0.0004936801696683443,0.0005918153646980207,360
YKL042W,0.005094243504839531,0.00044921819807166284,0.00046770309420213007,0.2701398582392594,0.00043637240932625386,0.000342652442252221,0.0005757424433988338,326
YHR019C,0.01706571574121243,0.0036872868809460593,0.00865446397179517,0.29622394529331075,0.003195936145886996,0.0009640825848474995,0.0006274432958926767,629
YLL018C,0.0163015792154865,0.007978546018285628,0.0037579653766527696,0.2964814295602587,0.0077321510412306374,0.001018020161322062,0.0006259026172177077,601
YKL103C,0.004330106979113601,0.0014870120012264376,0.00020467337853035428,0.26541967254421855,0.0015253780740057856,0.0003436442047299518,0.0005585816005092385,253
YLR080W,0.0025471217524197657,5.5030949757253624e-05,6.852300365935596e-05,0.2531695338114085,5.5216357595990865e-05,0.00020288113599262937,0.0005147097547205229,161
YLR072W,0.006622516556291391,0.006977765735488591,0.00036095838481286466,0.27883267621024627,0.006770752049011823,0.000559315780310082,0.0005908154940176489,342
YNL225C,0.004584819154355578,0.002289166301199909,0.00023745544270223416,0.28022798499403045,0.0023299692277988357,0.0003376086432843764,0.0005689969383235764,289
YLR250W,0.014009169638308712,0.00703543156421305,0.0007278590971954789,0.29078295676083654,0.006168543650634261,0.0008902811366883174,0.0006223081369658849,562
YOL158C,0.011462047885888945,0.0038903594066911564,0.0010779107242877952,0.2910084922892324,0.003521983373593737,0.0007371738032674548,0.0006156866407856153,503
YNL231C,0.008660213958227202,0.0007166592649542919,0.0010756664362358988,0.2789570625342062,0.0006297502711711712,0.0005090882580715455,0.0006051184307569581,445
YOR373W,0.001782985226693836,7.796589836397397e-05,4.273030877139704e-05,0.24953262111499558,9.059733415249574e-05,0.00015110397644200823,0.0004729381390984289,117
YPL124W,0.004584819154355578,0.001414749561881986,0.0005147963568840535,0.27700055305168503,0.001442847786878709,0.00031859333852274807,0.0005688938640868745,312
YDL201W,0.004839531329597555,0.00034260957543353493,0.0037233966107134103,0.2648201927643333,0.00035294622227917047,0.00030600473968559545,0.0005715563148906832,349
YDL195W,0.0015282730514518594,0.0001385205374943191,0.00031973073537421427,0.2462247336320432,0.00012736418132484916,0.0001268193863466372,0.00045538681832413324,157
YDR091C,0.004075394803871625,0.002167668556757888,0.0036617752336833174,0.26973202667757545,0.00218781380443339,0.00031338809696226455,0.0005529991940822416,311
YEL034W,0.004839531329597555,0.0006504615171099139,0.00289756226905093,0.2595443062455087,0.0006110042727553967,0.0003125909483128476,0.0005713431662975115,345
YDR388W,0.0007641365257259297,0.0004980028618616377,0.00013697955615014717,0.23769227057871867,0.0004980028618616377,0.00012865101013941716,0.00028709730864594793,72
YER007C-A,0.0038206826286296485,0.0006192094339165118,0.001023251501526375,0.2601561843769986,0.0006164082075395276,0.00026506028142305165,0.0005524495663123996,263
YEL065W,0.006877228731533368,0.002692986193297944,0.000561107405700247,0.2681512643714318,0.002688963122148433,0.0005132720955670441,0.0005910886519990673,349
YER178W,0.028273051451859398,0.023344114035692344,0.0023474506086778894,0.30895689155838885,0.021777565840475997,0.0018914185157715693,0.0006360676310080512,740
YER048C,0.001782985226693836,0.00010075994313109158,0.0003495644329965171,0.25859621552726403,8.734606682344444e-05,0.0001460862019148943,0.000478034153541475,182
YGL245W,0.0028018339276617422,0.0003417811157370605,0.00215509758166912,0.25786752516048617,0.00038037584815374625,0.0001914425478031055,0.0005276547033354758,255
YFR009W,0.001782985226693836,0.00016883497662366473,0.0007401834028015317,0.2517595444598453,0.0001697570360845619,0.0001347326635110573,0.0004761420726670409,175
YHR020W,0.01553744268976057,0.005896880033630221,0.005690379140255419,0.2951288044588275,0.005918171343274629,0.0009896237749996675,0.000624592449350198,587
YJR014W,0.001782985226693836,8.347142590627072e-07,0.0007526060052815309,0.24721436984154138,1.0705855569195825e-06,0.00013008521692465955,0.00047563923037786124,180
YNL247W,0.0028018339276617422,0.0009091094702124694,0.00026372176687713495,0.25371737159082186,0.0009310531017573154,0.00024055278256346655,0.0005203331088435852,178
YLR244C,0.004330106979113601,0.0014036049609894193,0.004688042044879505,0.27382663049810785,0.0014185116721065205,0.0003217615865464383,0.0005597051542543136,349
YOL111C,0.002292409577177789,0.00046584162204543755,0.0008772861721353077,0.2527602055433221,0.0004424001266385089,0.0001944594803895303,0.0004910895366269075,181
YOR187W,0.0056036678553234845,0.00169976803143349,0.0006163211378895635,0.2849094457502524,0.0016298582014639747,0.0003619585614816623,0.00058413388899044,360
YPL048W,0.0028018339276617422,0.0003263867824581793,0.0004570334145013693,0.2604993745112181,0.00029876694383502604,0.00020924904789621564,0.0005270060134434287,225
YPR163C,0.0012735608762098828,0.00011710331169030118,0.00013909812845183068,0.24732844371028834,0.00013577167476938986,0.00011182282861229483,0.00042927225759191136,116
YDR406W,0.006622516556291391,0.0018034026348487653,0.0007493320354337585,0.27726666354456647,0.0017411310627599593,0.0004227079697605128,0.0005894613814691625,413
YMR058W,0.0007641365257259297,0.0,2.7381057469128995e-05,0.23066350000523017,0.0,8.227130293255374e-05,0.00034982479155916873,55
YPR154W,0.0012735608762098828,2.7907132702934852e-05,1.4257982616337102e-05,0.23193252711164455,3.423303677814842e-05,0.00013157419620958376,0.00041897821751512557,47
YGR185C,0.007641365257259297,0.00014637786223591564,0.0033392411548972068,0.26687335451206157,0.00014988213962298388,0.00043765609610669186,0.0005988564305149088,419
YDL182W,0.00815078960774325,0.0023086402972955535,0.004576891427582202,0.28316773517623195,0.0024761564644646935,0.0005048217845431104,0.0006022117459609387,442
YGR054W,0.012735608762098827,0.0030312512900323675,0.02913033573667635,0.2899963279552538,0.002955519161130354,0.0006011156267554016,0.0006205351825251737,629
YGR285C,0.024197656647987772,0.006248184215650773,0.07591749327854423,0.2931228508660214,0.005427729143106343,0.0008218868757329371,0.0006359990424710171,743
YHR064C,0.018084564442180335,0.003419814093018802,0.059514062914052465,0.2868919170427492,0.002995055729035104,0.0006508760623758442,0.000630379760448665,705
YJR047C,0.00815078960774325,0.002837403842515163,0.0030195833181636197,0.27198060827003073,0.00273001356921462,0.0005893172845185572,0.0005990701533533622,417
YIL078W,0.00891492613346918,0.000783694929651419,0.0033612438517222113,0.27964317590259175,0.0007408816097541841,0.0005170031841349915,0.000606312078247736,455
YPL160W,0.006877228731533368,0.001196128446098605,0.0009252133995495341,0.26630509554156245,0.001200202335531432,0.0004497346966695836,0.0005920831450006296,368
YPR033C,0.0053489556800815075,8.762464635550163e-05,0.0016208279154639326,0.26160734145063963,7.005574766109756e-05,0.0003262484421827119,0.0005792701764367256,355
YCL001W,0.004584819154355578,0.0001420921324589902,1.6779905681470666e-05,0.2442213429073146,0.0001458535370777758,0.0003143234462258313,0.0005626145741142203,277
YDL072C,0.006113092205807438,0.0006751587651411751,2.0333200163255033e-05,0.25041530341620993,0.0006578203277755696,0.00040421919957514844,0.0005823806830399345,357
YDL015C,0.002292409577177789,8.719091323311528e-05,2.458149077522248e-05,0.24393553677167112,7.184328778625863e-05,0.00017923268702899628,0.0005052365696259169,179
YDR144C,0.0038206826286296485,0.001124174062393213,7.521588210630482e-05,0.26414900669424624,0.0011554161711937853,0.00031548472975168355,0.0005501502786991924,204
YDR245W,0.0056036678553234845,0.0006423757728532673,2.597070477136958e-05,0.24910187830866243,0.0005733794722264051,0.0003722477139931355,0.0005751295269741919,318
YEL036C,0.00738665308201732,0.0009173059873334384,2.8096275328217355e-05,0.2519793479573589,0.0007717455967615639,0.0004902717484495633,0.0005889947587149184,348
YGL105W,0.0033112582781456954,0.0001698901565054176,0.002964565430808208,0.2608072077773581,0.00015155466914171378,0.00019722880676370971,0.0005441882791166624,297
YFR024C-A,0.003565970453387672,0.0005599402315640861,0.0005649502249272969,0.25765502616983066,0.000534977171757526,0.00025381679316071194,0.0005488787715466317,274
YJL171C,0.0058583800305654615,0.0018263189296886069,9.176376222598043e-05,0.27176390635122943,0.00181010657928772,0.0004596499005355578,0.0005808866544630712,282
YGL200C,0.012226184411614875,0.0033020661850594836,3.370437908406134e-05,0.2612794213847544,0.0029925091824256913,0.0008042824351008906,0.0006119235457507503,493
YKL065C,0.004584819154355578,0.00012739754623069619,1.892440700229252e-05,0.24981506698748746,0.00010629873891018593,0.0003066667732895828,0.0005647804623565297,305
YKL165C,0.0038206826286296485,0.0005214954219044214,1.6808666898681646e-05,0.24666179022319862,0.000526762847280871,0.00028462795320789594,0.0005483169722967376,259
YLR386W,0.0025471217524197657,0.0014362137722614512,4.28017630375725e-05,0.2573192847599666,0.001476486155181987,0.0002748000936418617,0.0004982759773885538,141
YML115C,0.0056036678553234845,0.0016319129824038626,2.8660663493960694e-05,0.2535973295765511,0.0016015902167764693,0.0003812214278902049,0.0005759812134759418,318
