source,target,label,evidence_count,source_files,sources,methods
AT1G01010,AT1G10030,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT1G12390,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:21798944,Two-hybrid
AT1G01010,AT1G14360,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT1G16240,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT1G17080,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT1G21790,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Arabidopsis consortium; PUBMED:21798944,Two-hybrid; Y2H
AT1G01010,AT1G54330,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,PUBMED:28650476; Trigg et al.,Two-hybrid; y2H
AT1G01010,AT1G62880,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT1G65910,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,PUBMED:28650476; Trigg et al.,Two-hybrid; y2H
AT1G01010,AT1G75630,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT1G76670,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT1G77350,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT2G02990,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Arabidopsis consortium; PUBMED:21798944,Two-hybrid; Y2H
AT1G01010,AT2G20740,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT2G31490,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT2G32380,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Arabidopsis consortium; PUBMED:21798944,Two-hybrid; Y2H
AT1G01010,AT2G33120,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,Arabidopsis consortium; PUBMED:21798944,Two-hybrid; Y2H
AT1G01010,AT2G43510,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT2G44080,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT3G07950,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT3G10260,in vitro,1,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx,PUBMED:21798944,Two-hybrid
AT1G01010,AT3G14740,in vitro,2,BIOGRID-ARABIDOPSIS-THALIANA-5.0.258.tab3.xlsx; Table S1.xlsx,PUBMED:28650476; Trigg et al.,Two-hybrid; y2H
AT1G01010,AT3G25190,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT3G28080,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT3G29034,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
AT1G01010,AT3G43520,in vitro,1,Table S1.xlsx,Arabidopsis consortium,Y2H
