endpoint,original_identifier,mapped_identifier,mapping_status
original_protein_a,AT1G01040,AT1G01040,already_agi
original_protein_a,AT1G01050,AT1G01050,already_agi
original_protein_a,AT1G01060,AT1G01060,already_agi
original_protein_a,AT1G01090,AT1G01090,already_agi
original_protein_a,AT1G01100,AT1G01100,already_agi
original_protein_a,AT1G01120,AT1G01120,already_agi
original_protein_a,AT1G01140,AT1G01140,already_agi
original_protein_a,AT1G01160,AT1G01160,already_agi
original_protein_a,AT1G01170,AT1G01170,already_agi
original_protein_a,AT1G01183,AT1G01183,already_agi
original_protein_a,AT1G01200,AT1G01200,already_agi
original_protein_a,AT1G01230,AT1G01230,already_agi
original_protein_a,AT1G01290,AT1G01290,already_agi
original_protein_a,AT1G01320,AT1G01320,already_agi
original_protein_a,AT1G01340,AT1G01340,already_agi
original_protein_a,AT1G01360,AT1G01360,already_agi
original_protein_a,AT1G01370,AT1G01370,already_agi
original_protein_a,AT1G01510,AT1G01510,already_agi
original_protein_a,AT1G01560,AT1G01560,already_agi
original_protein_a,AT1G01610,AT1G01610,already_agi
original_protein_a,AT1G01620,AT1G01620,already_agi
original_protein_a,AT1G01740,AT1G01740,already_agi
original_protein_a,AT1G01820,AT1G01820,already_agi
original_protein_a,AT1G01880,AT1G01880,already_agi
original_protein_a,AT1G01940,AT1G01940,already_agi
original_protein_a,AT1G01960,AT1G01960,already_agi
original_protein_a,AT1G01970,AT1G01970,already_agi
original_protein_a,AT1G01990,AT1G01990,already_agi
original_protein_a,AT1G02065,AT1G02065,already_agi
original_protein_a,AT1G02080,AT1G02080,already_agi
original_protein_a,AT1G02090,AT1G02090,already_agi
original_protein_a,AT1G02130,AT1G02130,already_agi
original_protein_a,AT1G02140,AT1G02140,already_agi
original_protein_a,AT1G02280,AT1G02280,already_agi
original_protein_a,AT1G02330,AT1G02330,already_agi
original_protein_a,AT1G02340,AT1G02340,already_agi
original_protein_a,AT1G02450,AT1G02450,already_agi
original_protein_a,AT1G02500,AT1G02500,already_agi
original_protein_a,AT1G02510,AT1G02510,already_agi
original_protein_a,AT1G02520,AT1G02520,already_agi
original_protein_a,AT1G02530,AT1G02530,already_agi
original_protein_a,AT1G02560,AT1G02560,already_agi
original_protein_a,AT1G02580,AT1G02580,already_agi
original_protein_a,AT1G02640,AT1G02640,already_agi
original_protein_a,AT1G02690,AT1G02690,already_agi
original_protein_a,AT1G02740,AT1G02740,already_agi
original_protein_a,AT1G02750,AT1G02750,already_agi
original_protein_a,AT1G02780,AT1G02780,already_agi
original_protein_a,AT1G02830,AT1G02830,already_agi
original_protein_a,AT1G02840,AT1G02840,already_agi
original_protein_a,AT1G02970,AT1G02970,already_agi
original_protein_a,AT1G03060,AT1G03060,already_agi
original_protein_a,AT1G03090,AT1G03090,already_agi
original_protein_a,AT1G03130,AT1G03130,already_agi
original_protein_a,AT1G03190,AT1G03190,already_agi
original_protein_a,AT1G03330,AT1G03330,already_agi
original_protein_a,AT1G03350,AT1G03350,already_agi
original_protein_a,AT1G03360,AT1G03360,already_agi
original_protein_a,AT1G03380,AT1G03380,already_agi
original_protein_a,AT1G03445,AT1G03445,already_agi
original_protein_a,AT1G03475,AT1G03475,already_agi
original_protein_a,AT1G03600,AT1G03600,already_agi
original_protein_a,AT1G03630,AT1G03630,already_agi
