source,target
AT1G01040,AT1G01040
AT1G01040,AT1G09700
AT1G01040,AT2G27100
AT1G01040,AT3G20550
AT1G01040,AT4G15900
AT1G01050,AT4G01480
AT1G01060,AT2G37000
AT1G01060,AT2G46830
AT1G01060,AT3G22170
AT1G01060,AT3G60250
AT1G01060,AT4G10180
AT1G01060,AT4G18390
AT1G01060,AT5G67380
AT1G01090,AT3G11630
AT1G01090,AT5G50850
AT1G01100,AT2G40010
AT1G01100,AT3G44590
AT1G01120,AT2G01950
AT1G01120,AT4G11220
AT1G01120,AT4G18430
AT1G01120,AT4G35450
AT1G01140,AT4G01400
AT1G01140,AT4G08150
AT1G01140,AT4G17615
AT1G01140,AT4G26570
AT1G01140,AT4G37260
AT1G01140,AT5G24270
AT1G01140,AT5G47100
AT1G01140,AT5G55990
AT1G01160,AT1G20700
AT1G01160,AT1G58100
AT1G01160,AT1G69690
AT1G01160,AT2G36400
AT1G01160,AT2G45480
AT1G01160,AT3G02540
AT1G01160,AT3G13960
AT1G01160,AT3G15030
AT1G01160,AT3G47620
AT1G01160,AT3G52910
AT1G01160,AT5G53660
AT1G01230,AT3G08510
AT1G01230,AT3G17210
AT1G01230,AT3G28220
AT1G01230,AT3G55440
AT1G01230,AT3G62560
AT1G01230,AT4G23400
AT1G01230,AT4G29330
AT1G01230,AT5G06320
AT1G01230,AT5G25752
AT1G01230,AT5G45750
AT1G01340,AT1G02510
AT1G01340,AT1G04310
AT1G01340,AT1G77210
AT1G01340,AT1G79940
AT1G01340,AT2G18790
AT1G01340,AT2G18960
AT1G01340,AT2G28070
AT1G01340,AT3G05350
AT1G01340,AT4G00900
AT1G01340,AT4G30190
AT1G01340,AT4G37640
AT1G01360,AT1G12980
AT1G01360,AT1G17550
AT1G01360,AT1G25490
AT1G01360,AT1G53230
AT1G01360,AT1G54830
AT1G01360,AT1G69690
AT1G01360,AT1G72340
AT1G01360,AT1G72770
AT1G01360,AT2G30470
AT1G01360,AT3G11410
AT1G01360,AT3G50060
AT1G01360,AT4G18620
AT1G01360,AT4G22070
AT1G01360,AT4G26080
AT1G01360,AT4G26455
AT1G01360,AT4G32570
AT1G01360,AT4G37260
AT1G01360,AT5G02150
AT1G01360,AT5G08330
AT1G01360,AT5G41560
AT1G01360,AT5G57050
AT1G01360,AT5G60120
AT1G01510,AT1G01510
AT1G01510,AT1G11130
AT1G01510,AT5G17420
AT1G01560,AT1G08780
AT1G01560,AT5G45410
