Protein ID,No. of Significant Peptides (Adj. P-value),recovery_diff
P22202,30,1
P15992,16,1
P31539,14,1
P10591,11,1
P00360,8,1
P38715,10,1
Q00764,8,1
P17709,11,1
P53286,5,1
P53691,6,1
Q3E841,5,1
P38616,4,1
P04807,3,1
P16474,3,1
P23776,3,1
P37012,3,1
P38249,4,1
Q12490,3,1
P39954,3,1
P25619,3,1
P06169,2,1
P15108,2,1
P32527,2,1
P33416,2,1
P53315,2,1
P53316,2,1
P00924,1,0
P04806,3,1
P06115,1,0
P06208,1,0
P08432,1,0
P08524,1,0
P09232,1,0
P0CX80,1,0
P10081,1,0
P10592,1,0
P12709,1,0
P13382,1,0
P14742,1,0
P19097,1,0
P19807,1,0
P20967,1,0
P21524,1,0
P26321,1,0
P27472,1,0
P31688,1,0
P32178,1,0
P32288,1,0
P32379,1,0
P32454,1,0
P32861,1,0
P38426,1,0
P38891,1,0
P38911,1,0
P39003,1,0
P39009,1,0
P40010,1,0
P40150,1,0
P40202,1,0
P40217,1,0
P40484,1,0
P43535,1,0
P47120,1,0
P50101,1,0
P53303,1,0
P53909,1,0
P53973,1,0
Q01080,1,0
Q01532,1,0
Q03690,1,0
Q03771,1,0
Q03834,1,0
Q04432,1,0
Q06178,1,0
Q07478,1,0
Q08193,1,0
Q12024,1,0
Q12198,1,0
Q12361,1,0
Q12680,1,0
P23180,1,0
P38067,1,0
P38187,1,0
P40043,1,0
P46982,1,0
P47137,1,0
P49090,1,0
P53283,1,0
P54114,1,0
Q12028,1,0
Q12056,1,0
Q12329,1,0
P09436,1,0
P16547,1,0
P38804,1,0
Q06494,1,0
Q06689,1,0
P53929,1,0
Q06177,1,0
O13297,0,0
O13516,0,0
O13527,0,0
O13547,0,0
O13563,0,0
O14467,0,0
O74700,0,0
O94742,0,0
P00044,0,0
P00128,0,0
P00330,0,0
P00358,0,0
P00359,0,0
P00410,0,0
P00431,0,0
P00445,0,0
P00546,0,0
P00549,0,0
P00560,0,0
P00572,0,0
P00724,0,0
P00729,0,0
P00812,0,0
P00815,0,0
P00817,0,0
P00830,0,0
P00890,0,0
P00925,0,0
P00927,0,0
P00937,0,0
P00942,0,0
P00950,0,0
P00958,0,0
P01119,0,0
P01120,0,0
P01123,0,0
P02293,0,0
P02309,0,0
P02400,0,0
P02406,0,0
P02557,0,0
P02829,0,0
P02992,0,0
P02994,0,0
P03965,0,0
P04037,0,0
P04050,0,0
P04051,0,0
P04147,0,0
P04456,0,0
P04802,0,0
P04840,0,0
P04911,0,0
P05030,0,0
P05317,0,0
P05318,0,0
P05319,0,0
P05373,0,0
P05453,0,0
P05626,0,0
P05737,0,0
P05739,0,0
P05740,0,0
P05744,0,0
P05745,0,0
P05748,0,0
P05750,0,0
P05755,0,0
P05756,0,0
P05759,0,0
P06100,0,0
P06101,0,0
P06102,0,0
P06103,0,0
P06104,0,0
P06105,0,0
P06168,0,0
P06244,0,0
P06245,0,0
P06367,0,0
P06634,0,0
P06738,0,0
P06780,0,0
P06782,0,0
P06785,0,0
P06786,0,0
P06787,0,0
P06844,0,0
P07149,0,0
P07170,0,0
P07213,0,0
P07244,0,0
P07245,0,0
P07246,0,0
P07248,0,0
P07251,0,0
P07256,0,0
P07257,0,0
P07259,0,0
P07260,0,0
P07263,0,0
P07264,0,0
P07267,0,0
P07273,0,0
P07274,0,0
P07277,0,0
P07278,0,0
P07280,0,0
P07283,0,0
P07342,0,0
P07347,0,0
P07560,0,0
P07702,0,0
P07703,0,0
P07834,0,0
P07991,0,0
P08004,0,0
P08067,0,0
P08417,0,0
P08518,0,0
P08539,0,0
P08566,0,0
P08678,0,0
P09032,0,0
P09064,0,0
P09440,0,0
P09624,0,0
P09733,0,0
P09734,0,0
P09880,0,0
P09938,0,0
P09950,0,0
P0C0T4,0,0
P0C0V8,0,0
P0C0W9,0,0
P0C2I6,0,0
P0C2I9,0,0
P0CH08,0,0
P0CS90,0,0
P0CT04,0,0
P0CX27,0,0
P0CX29,0,0
P0CX31,0,0
P0CX35,0,0
P0CX37,0,0
P0CX39,0,0
P0CX41,0,0
P0CX43,0,0
P0CX45,0,0
P0CX47,0,0
P0CX49,0,0
P0CX51,0,0
P0CX53,0,0
P0CX55,0,0
P0CX82,0,0
P0CX84,0,0
P10080,0,0
P10363,0,0
P10507,0,0
P10614,0,0
P10622,0,0
P10659,0,0
P10664,0,0
P10962,0,0
P10964,0,0
P11075,0,0
P11076,0,0
P11154,0,0
P11353,0,0
P11412,0,0
P11484,0,0
P11632,0,0
P11633,0,0
P11745,0,0
P11792,0,0
P11914,0,0
P11938,0,0
P11972,0,0
P12385,0,0
P12630,0,0
P12688,0,0
P12695,0,0
P12754,0,0
P12868,0,0
P12904,0,0
P12945,0,0
P12962,0,0
P13393,0,0
P13517,0,0
P13663,0,0
P13856,0,0
P14020,0,0
P14065,0,0
P14120,0,0
P14126,0,0
P14164,0,0
P14306,0,0
P14540,0,0
P14682,0,0
P14741,0,0
P14743,0,0
P14747,0,0
P14772,0,0
P14832,0,0
P14904,0,0
P14906,0,0
P14907,0,0
P14922,0,0
P15019,0,0
P15180,0,0
P15274,0,0
P15303,0,0
P15424,0,0
P15436,0,0
P15454,0,0
P15496,0,0
P15565,0,0
P15624,0,0
P15625,0,0
P15646,0,0
P15700,0,0
P15703,0,0
P15705,0,0
P15731,0,0
P15790,0,0
P15873,0,0
P15891,0,0
P16140,0,0
P16370,0,0
P16387,0,0
P16451,0,0
P16467,0,0
P16521,0,0
P16550,0,0
P16603,0,0
P16622,0,0
P16649,0,0
P16861,0,0
P16862,0,0
P17065,0,0
P17076,0,0
P17106,0,0
P17157,0,0
P17255,0,0
P17505,0,0
P17555,0,0
P17649,0,0
P17695,0,0
P17883,0,0
P17890,0,0
P17891,0,0
P17898,0,0
P17967,0,0
P18239,0,0
P18562,0,0
P18759,0,0
P18899,0,0
P19073,0,0
P19146,0,0
P19262,0,0
P19358,0,0
P19414,0,0
P19454,0,0
P19524,0,0
P19658,0,0
P19880,0,0
P19882,0,0
P20081,0,0
P20107,0,0
P20133,0,0
P20433,0,0
P20434,0,0
P20435,0,0
P20436,0,0
P20447,0,0
P20448,0,0
P20449,0,0
P20457,0,0
P20459,0,0
P20485,0,0
P20486,0,0
P20604,0,0
P20606,0,0
P20676,0,0
P21147,0,0
P21182,0,0
P21242,0,0
P21243,0,0
P21306,0,0
P21375,0,0
P21538,0,0
P21576,0,0
P21734,0,0
P21801,0,0
P21825,0,0
P21827,0,0
P21954,0,0
P21965,0,0
P22082,0,0
P22133,0,0
P22137,0,0
P22138,0,0
P22139,0,0
P22141,0,0
P22146,0,0
P22147,0,0
P22203,0,0
P22213,0,0
P22214,0,0
P22217,0,0
P22276,0,0
P22336,0,0
P22515,0,0
P22579,0,0
P22696,0,0
P22768,0,0
P22803,0,0
P22936,0,0
P22943,0,0
P23201,0,0
P23202,0,0
P23254,0,0
P23287,0,0
P23291,0,0
P23292,0,0
P23301,0,0
P23337,0,0
P23503,0,0
P23542,0,0
P23594,0,0
P23595,0,0
P23615,0,0
P23638,0,0
P23639,0,0
P23642,0,0
P23644,0,0
P23724,0,0
P24276,0,0
P24279,0,0
P24280,0,0
P24783,0,0
P25043,0,0
P25045,0,0
P25087,0,0
P25293,0,0
P25294,0,0
P25296,0,0
P25298,0,0
P25299,0,0
P25303,0,0
P25340,0,0
P25342,0,0
P25343,0,0
P25344,0,0
P25359,0,0
P25369,0,0
P25373,0,0
P25374,0,0
P25375,0,0
P25382,0,0
P25386,0,0
P25441,0,0
P25443,0,0
P25451,0,0
P25491,0,0
P25515,0,0
P25555,0,0
P25567,0,0
P25574,0,0
P25582,0,0
P25586,0,0
P25588,0,0
P25605,0,0
P25623,0,0
P25627,0,0
P25635,0,0
P25644,0,0
P25655,0,0
P25694,0,0
P25719,0,0
P25847,0,0
P26570,0,0
P26754,0,0
P26755,0,0
P26783,0,0
P26784,0,0
P26785,0,0
P26786,0,0
P26793,0,0
P27476,0,0
P27514,0,0
P27614,0,0
P27616,0,0
P27692,0,0
P27705,0,0
P27809,0,0
P27810,0,0
P27882,0,0
P27999,0,0
P28000,0,0
P28005,0,0
P28007,0,0
P28241,0,0
P28272,0,0
P28274,0,0
P28319,0,0
P28321,0,0
P28495,0,0
P28496,0,0
P28707,0,0
P28817,0,0
P28834,0,0
P29311,0,0
P29366,0,0
P29453,0,0
P29468,0,0
P29469,0,0
P29496,0,0
P29509,0,0
P29547,0,0
P29704,0,0
P29952,0,0
P30605,0,0
P30619,0,0
P30624,0,0
P30656,0,0
P30657,0,0
P30771,0,0
P30822,0,0
P30902,0,0
P31116,0,0
P31373,0,0
P31380,0,0
P31382,0,0
P31383,0,0
P31384,0,0
P31412,0,0
P32074,0,0
P32179,0,0
P32259,0,0
P32316,0,0
P32319,0,0
P32324,0,0
P32327,0,0
P32332,0,0
P32335,0,0
P32337,0,0
P32342,0,0
P32347,0,0
P32349,0,0
P32353,0,0
P32356,0,0
P32366,0,0
P32367,0,0
P32368,0,0
P32377,0,0
P32381,0,0
P32386,0,0
P32419,0,0
P32447,0,0
P32457,0,0
P32458,0,0
P32461,0,0
P32465,0,0
P32466,0,0
P32468,0,0
P32471,0,0
P32472,0,0
P32473,0,0
P32474,0,0
P32476,0,0
P32478,0,0
P32480,0,0
P32481,0,0
P32485,0,0
P32486,0,0
P32492,0,0
P32495,0,0
P32497,0,0
P32499,0,0
P32501,0,0
P32502,0,0
P32505,0,0
P32521,0,0
P32523,0,0
P32529,0,0
P32558,0,0
P32561,0,0
P32563,0,0
P32565,0,0
P32566,0,0
P32582,0,0
P32588,0,0
P32589,0,0
P32591,0,0
P32597,0,0
P32598,0,0
P32599,0,0
P32602,0,0
P32610,0,0
P32614,0,0
P32621,0,0
P32623,0,0
P32626,0,0
P32628,0,0
P32639,0,0
P32644,0,0
P32657,0,0
P32660,0,0
P32769,0,0
P32771,0,0
P32773,0,0
P32790,0,0
P32793,0,0
P32794,0,0
P32795,0,0
P32802,0,0
P32803,0,0
P32832,0,0
P32835,0,0
P32842,0,0
P32860,0,0
P32864,0,0
P32874,0,0
P32892,0,0
P32895,0,0
P32897,0,0
P32898,0,0
P32899,0,0
P32905,0,0
P32908,0,0
P32911,0,0
P32914,0,0
P32915,0,0
P32916,0,0
P32939,0,0
P33201,0,0
P33202,0,0
P33297,0,0
P33298,0,0
P33299,0,0
P33302,0,0
P33307,0,0
P33308,0,0
P33309,0,0
P33313,0,0
P33317,0,0
P33322,0,0
P33327,0,0
P33333,0,0
P33334,0,0
P33338,0,0
P33399,0,0
P33401,0,0
P33442,0,0
P33734,0,0
P33754,0,0
P33755,0,0
P33767,0,0
P33775,0,0
P33892,0,0
P34077,0,0
P34078,0,0
P34087,0,0
P34160,0,0
P34163,0,0
P34167,0,0
P34216,0,0
P34217,0,0
P34221,0,0
P34223,0,0
P34227,0,0
P34241,0,0
P34244,0,0
P34730,0,0
P34760,0,0
P34761,0,0
P34909,0,0
P35179,0,0
P35182,0,0
P35189,0,0
P35194,0,0
P35197,0,0
P35207,0,0
P35691,0,0
P35718,0,0
P35728,0,0
P35732,0,0
P35734,0,0
P35817,0,0
P35844,1,0
P35997,0,0
P36010,0,0
P36013,0,0
P36015,0,0
P36016,0,0
P36017,0,0
P36018,0,0
P36027,0,0
P36037,0,0
P36041,0,0
P36047,0,0
P36049,0,0
P36051,0,0
P36060,0,0
P36076,0,0
P36081,0,0
P36088,0,0
P36095,0,0
P36100,0,0
