node,homodimer,homotrimer,homotetramer,heterodimer,heterotrimer,heterotetramer,heteropentamer,heterohexamer,heteroheptamer,heterooctamer,heterononamer,heterodecamer,in_complex,complex_partners,complex_count_unknown,complex_count
AT1G01040,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01050,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01060,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01090,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01100,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01120,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01140,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01160,0,0,0,0,0,0,0,0,0,0,0,0,1,AT1G18450;AT1G20670;AT1G21700;AT1G76380;AT1G76380/F15M4_12;AT2G28290;AT2G46020;AT3G01890;AT3G03460;AT3G22990;AT3G60830;AT4G00850;AT4G22320;AT4G22320/T10I14_150;AT4G34430;AT5G07940;AT5G07970;AT5G07980;AT5G14170;AT5G17510;AT5G28640;AT5G55040;AT5G55210,2,2
AT1G01170,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01183,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01200,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01230,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01290,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01320,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01340,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01360,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01370,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01510,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01560,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01610,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
AT1G01620,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
