complex_string,stoichiometry,unknown_stoichiometry
YDL220C;YDR082W;YLR010C,0;0;0,1
YAR007C;YNL312W;YJL173C,1;1;1,0
YBR119W;YKL012W;YML046W;YER029C;YFL017W-A;YLR147C;YGR013W;YPR182W;YHR086W;YIL061C;YGR074W;YDR235W;YDR240C;YLR298C;YLR275W;YDL087C;YOR159C,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YBL026W;YER112W;YER146W;YJR022W;YMR268C;YNL147W;YLR438C-A;YDR378C,1;1;1;1;1;1;1;1,0
YBR055C;YPR178W;YDR243C;YER172C;YHR165C;YKL173W;YBL026W;YBR152W;YEL026W;YER029C;YER112W;YER146W;YFL017W-A;YLR147C;YFR005C;YJR022W;YGR091W;YNL147W;YPR182W;YLR438C-A;YGR075C;YGR074W;YDR473C;YLR275W;YDR378C;YPR082C;YOR159C;YDL098C;YOR308C,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YNL138W-A;YDL030W;YJL203W;YER029C;YFL017W-A;YIR005W;YIR009W;YLR147C;YGL174W;YMR288W;YNL286W;YPR182W;YGR074W;YMR240C;YML049C;YLR275W;YPR094W;YDL043C;YLR016C;YPL213W;YOR159C;YOR319W,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YBR055C;YDR243C;YER172C;YHR165C;YKL173W;YHR156C;YER029C;YFL017W-A;YLR147C;YPR182W;YGR074W;YLR275W;YPR082C;YOR159C,0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YBL074C;YHR165C;YKL173W;YER029C;YFL017W-A;YLR147C;YPR182W;YGR074W;YLR275W;YOR159C,0;0;0;0;0;0;0;0;0;0,1
YPR178W;YEL026W;YER029C;YFL017W-A;YLR147C;YPR182W;YGR074W;YDR473C;YLR275W;YOR159C,0;0;0;0;0;0;0;0;0;0,1
YPR178W;YBL026W;YEL026W;YER029C;YER112W;YER146W;YFL017W-A;YLR147C;YJR022W;YGR091W;YNL147W;YPR182W;YLR438C-A;YGR074W;YDR473C;YLR275W;YDR378C;YOR159C,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YAR014C;YHR158C;YGR238C,2;2;1,0
YER029C;YFL017W-A;YLR147C;YPR182W;YGR074W;YLR275W;YOR159C,1;1;1;1;1;1;1,0
YBL026W;YER112W;YER146W;YJR022W;YNL147W;YLR438C-A;YDR378C,1;1;1;1;1;1;1,0
YBL026W;YER112W;YER146W;YJL124C;YNL147W;YLR438C-A;YDR378C,1;1;1;1;1;1;1,0
YBL026W;YER112W;YER146W;YNL147W;YLR438C-A;YDR378C,0;0;0;0;0;0,1
YCR077C;YBL026W;YER112W;YER146W;YJL124C;YNL147W;YLR438C-A;YDR378C,1;1;1;1;1;1;1;1,0
YBL008W;YOR038C;YJR140C;YBR215W,1;2;1;2,0
YKR016W;YBR262C;YFR011C;YGR235C;YNL100W;YCL057C-A,0;0;0;0;0;0,1
YOR026W;YGR188C,1;1,0
YOR211C;YBR179C;YDR470C,0;0;0,1
YBR002C;YDL193W,0;0,1
YMR101C;YDL193W,0;0,1
YDR477W;YGL115W;YER027C,1;1;1,0
YDR477W;YGL115W;YDR422C,1;1;1,0
YLR336C;YDR021W,0;0,1
YEL032W;YBL023C;YLR274W;YPR019W;YBR202W;YJL072C;YGL201C;YDR489W;YLR103C;YOL146W;YDR013W,0;0;0;0;0;0;0;0;0;0;0,1
YCL039W;YBR105C;YMR135C;YIL097W;YIL017C;YGL227W;YDR255C,1;1;1;1;1;1;1,0
YHR162W;YGL080W,1;1,0
YGL080W;YGR243W,1;1,0
YCL045C;YKL207W;YIL027C;YJR088C;YGL231C;YLL014W,0;0;0;0;0;0,1
YBR281C;YNL191W,2;2,0
YPR173C,0,1
YBR160W;YGR108W,0;0,1
YBR160W;YDL155W,0;0,1
YBR160W;YLR210W,0;0,1
YBR160W;YGR109C,0;0,1
YBR160W;YPL256C;YBR135W,0;0;0,1
YFR021W;YNL242W,0;0,1
YBR120C;YPL215W,0;0,1
YIL003W;YGL091C,2;2,0
YKR071C;YPR048W,0;0,1
YKR072C;YKL088W;YOR054C,1;1;1,0
YKL088W;YIL083C;YGR277C;YDR196C,0;0;0;0,1
YLR423C;YPL166W;YDR022C,2;2;2,0
YBL080C;YGR102C;YMR293C,0;0;0,1
YBR229C;YDR221W,0;0,1
YNR046W;YDR140W,1;1,0
YBR087W;YNL290W;YOL094C;YJR068W;YOR144C,1;1;1;1;1,0
YPR080W;YAL003W;YKL081W,2;2;2,0
YIR006C;YBL007C;YNL084C,1;0;1,1
YPL237W;YJR007W;YER025W,1;1;1,0
YOR260W;YGR083C;YKR026C;YDR211W;YLR291C,2;2;2;2;2,0
YOL139C;YKR059W;YGR162W,1;1;1,0
YOL139C;YKR059W;YGL049C,1;1;1,0
YDR172W;YBR143C,1;1,0
YKR084C;YNL001W,1;1,0
YMR203W;YOR045W;YNL131W;YNL070W;YPR133W-A,2;2;2;3;2,0
YNL121C;YMR203W;YOR045W;YGR082W;YNL131W;YNL070W;YPR133W-A,0;2;2;0;2;2;2,1
YLR170C;YKL135C;YPL259C;YPR029C,0;0;0;0,1
YLR170C;YKL135C;YHL019C;YPR029C,0;0;0;0,1
YJR005W;YBL037W;YJR058C;YOL062C,0;0;0;0,1
YBR288C;YGR261C;YJL024C;YPL195W,0;0;0;0,1
YJL164C;YIL033C,2;2,0
YPL203W;YIL033C,2;2,0
YBR088C,3,0
YBR087W;YNL290W;YOR217W;YOL094C;YJR068W,1;1;1;1;1,0
YOL069W;YER018C;YIL144W;YMR117C,0;0;0;0,1
YGR240C;YMR205C,4;4,0
YOR136W;YNL037C,4;4,0
YLL041C;YKL141W;YDR178W;YKL148C,1;1;1;1,0
YFR033C;YDR529C;Q0105;YOR065W;YBL045C;YPR191W;YEL024W;YJL166W;YGR183C;YHR001W-A,1;1;1;1;1;1;1;1;1;1,0
YBR195C;YML102W;YPR018W,1;1;1,0
YKL166C;YIL033C,2;2,0
YJL164C;YPL203W;YIL033C,1;1;2,0
YKL166C;YJL164C;YIL033C,1;1;2,0
YKL166C;YPL203W;YIL033C,1;1;2,0
YHR084W;YPL049C;YDR480W,0;0;0,1
YHR084W;YBR083W;YPL049C,0;0;0,1
YJR109C;YOR303W,1;1,0
YPL228W;YGL130W,2;2,0
YIL035C;YOR061W;YOR039W;YGL019W,1;1;1;1,0
YDR074W;YMR261C;YBR126C,0;0;0,1
YDR074W;YML100W;YBR126C,0;0;0,1
YLR433C;YKL190W,1;1,0
YML057W;YKL190W,1;1,0
YCR035C;YHR069C;YGR195W;YGR158C;YGR095C;YNL232W;YDR280W;YOL021C;YOL142W;YOR001W;YDL111C,1;1;1;1;1;1;1;1;1;1;1,0
YCR035C;YHR069C;YGR195W;YGR158C;YGR095C;YNL232W;YDR280W;YOL021C;YOL142W;YDL111C,1;1;1;1;1;1;1;1;1;1,0
YDL029W;YKL013C;YBR234C;YIL062C;YJR065C;YNR035C;YLR370C,1;1;1;1;1;1;1,0
YPR088C;YML105C;YKL122C;YPL243W;YPL210C;YDL092W,1;1;1;1;1;1,0
YBR245C;YMR044W;YLR095C,1;1;1,0
YBR245C;YFR013W,1;1,0
YDR392W;YCL010C;YDR176W;YER164W;YBR081C;YBR198C;YHR099W;YLR055C;YMR223W;YOL148C;YGL112C;YGL066W;YDR448W;YPL047W;YGR252W;YDR145W;YMR236W;YDR167W;YPL254W;YBR111W-A,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YCR039C;YCR097W,1;1,0
YCR039C;YMR043W,2;2,0
YCR040W;YMR043W,2;2,0
YJL005W;YNL138W,0;0,1
YJL065C;YGL133W;YDR121W;YOR304W,0;0;0;0,1
YDL014W;YEL026W;YLR197W;YOR310C,2;2;1;1,0
YGL133W;YOR304W,0;0,1
YHR089C;YDL208W;YLR175W;YHR072W-A,1;0;1;1,1
YKL022C;YFR036W;YHR166C;YBL084C;YIR025W;YGL240W;YNL172W;YDR118W;YOR249C;YLR102C;YDL008W;YDR260C;YLR127C,0;0;0;0;0;0;0;0;0;0;0;0;0,1
YKL022C;YFR036W;YHR166C;YGL116W;YBL084C;YIR025W;YGL240W;YNL172W;YDR118W;YOR249C;YLR102C;YDL008W;YDR260C;YLR127C,0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YKL022C;YFR036W;YHR166C;YBL084C;YIR025W;YGL240W;YGL003C;YNL172W;YDR118W;YOR249C;YLR102C;YDL008W;YDR260C;YLR127C,0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YKL022C;YFR036W;YHR166C;YBL084C;YIR025W;YGR225W;YGL240W;YNL172W;YDR118W;YOR249C;YLR102C;YDL008W;YDR260C;YLR127C,0;0;0;0;0;0;0;0;0;0;0;0;0;0,1
YBR060C;YHR118C;YNL261W;YML065W;YLL004W;YPR162C,0;0;0;0;0;0,1
YIL035C;YOR039W;YGL019W,2;1;1,0
YOR061W;YOR039W;YGL019W,2;1;1,0
YIL035C;YCL031C;YOR039W;YGL019W;YGR090W,2;0;1;1;0,1
YIL035C;YOR061W;YCL031C;YOR039W;YGL019W;YGR090W,1;1;0;1;1;0,1
YOR061W;YCL031C;YOR039W;YGL019W;YGR090W,2;0;1;1;0,1
YIL035C;YOR061W;YCL031C;YOR039W;YLR223C;YGL019W;YGR090W,1;1;0;1;0;1;0,1
YIL035C;YCL031C;YOR039W;YLR223C;YGL019W;YGR090W,2;0;1;0;1;0,1
YOR061W;YCL031C;YOR039W;YLR223C;YGL019W;YGR090W,2;0;1;0;0;0,1
YMR127C;YDR181C;YOR213C,1;1;1,0
YNR046W;YOL124C,1;1,0
YHR187W;YGR200C;YPL101W;YPL086C;YMR312W;YLR384C,2;2;2;2;2;2,0
YDR292C;YKL154W,1;1,0
YCR020C-A;YEL053C;YPR051W,0;0;0,1
YPR131C;YOL076W,0;0,1
YHR013C;YDL040C;YOR253W,0;0;0,1
YOL110W;YLR246W,0;0,1
YOL067C;YBL103C,1;1,0
YEL044W;YPL129W;YER092W;YNL215W;YFL013C;YGL150C;YNL059C;YFL039C;YJL081C;YDL002C;YDR190C;YOR189W;YLR052W;YOR141C;YPL235W,1;1;1;1;1;1;1;1;1;1;6;1;1;1;6,0
YDL017W;YDR052C,0;0,1
YMR058W;YER145C,1;0,1
YBR207W;YFL041W,0;1,1
YCL008C;YGR206W;YPL065W;YLR119W,1;1;1;1,0
YLR182W;YER111C,1;1,0
YLR182W;YDL056W,0;0,1
YER083C;YGL020C;YDL100C,2;2;2,0
YGL086W;YJL030W,0;0,1
YGL116W;YJL030W,0;0,1
YGL116W;YOR026W;YJL030W;YJL013C,0;0;0;0,1
YMR055C;YJR053W,0;0,1
YAL041W;YOR212W;YJR086W;YJL157C,0;0;0;0,1
YKR038C;YJL184W;YGR262C;YML036W;YKR095W-A,1;1;1;1;1,0
