gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G01090,42.817642,0.997858945,0.022075931,52.87125588,0.996669509,0.027956183,52.5399279,0.99723142,0.025670912
AT1G01470,57.81767446,0.996206077,0.023289661,57.16059128,0.995769291,0.028337914,57.747987,0.990992041,0.041292513
AT1G01620,,,,61.09692603,0.975268215,0.068525178,61.74002737,0.982690328,0.056415113
AT1G01630,48.98590542,0.947407421,0.082954412,,,,,,
AT1G01790,44.18851047,0.99523204,0.025908112,48.9602835,0.976472966,0.07125133,47.46386948,0.97508198,0.081614284
AT1G01820,41.45087917,0.996044787,0.024505229,53.32314973,0.993900353,0.036909288,,,
AT1G01910,40.12769112,0.998573731,0.014889648,45.60682246,0.998139311,0.019566902,45.83530702,0.995385591,0.031573997
AT1G02090,53.53850268,0.976811383,0.059224865,,,,,,
AT1G02150,32.0046936,0.992861564,0.029519245,38.21752576,0.985618694,0.05253243,37.90596935,0.985342433,0.053812249
AT1G02280,40.58220569,0.997011747,0.021017174,49.62051742,0.990809359,0.046429455,49.25040851,0.993651404,0.040209216
AT1G02500,41.44413752,0.999611256,0.008075332,52.8869137,0.993178029,0.039242575,53.13232526,0.991589507,0.044586842
AT1G02560,40.02051928,0.997387712,0.019930095,53.84388419,0.995204953,0.033362087,52.96885943,0.99424168,0.03608792
AT1G02780,49.92150519,0.907627402,0.075702347,,,,,,
AT1G02816,54.01416397,0.985307147,0.059086103,60.0155822,0.985437976,0.046648245,58.39649414,0.9811455,0.057433611
AT1G02910,43.37881873,0.998008276,0.019706775,48.87887827,0.997342507,0.026119178,48.71000335,0.997148254,0.027561712
AT1G02920,36.18974838,0.997690201,0.019148447,45.55372161,0.999200724,0.012547059,42.46534584,0.991168782,0.042221964
AT1G02930,36.66848938,0.999082049,0.01197154,44.34185785,0.997215087,0.025196245,43.70337613,0.995865827,0.029864231
AT1G03130,55.38251682,0.997815291,0.019107946,57.20992709,0.967237276,0.086397015,58.43318621,0.990310968,0.046097608
AT1G03150,47.34736535,0.972009292,0.088551808,51.30247802,0.989397314,0.04902887,,,
AT1G03160,41.28295654,0.998182348,0.016769496,47.02144693,0.997177442,0.02533057,45.05563564,0.999443699,0.011687209
AT1G03230,44.7930903,0.972225011,0.06555647,54.02133904,0.947932385,0.120487749,,,
AT1G03330,56.41165651,0.989398806,0.041182181,57.26421323,0.994931119,0.029770558,58.88111737,0.991089833,0.040935102
AT1G03360,,,,50.11278436,0.987471468,0.059897379,,,
AT1G03430,55.54772407,0.952457627,0.102830551,,,,,,
AT1G03600,68.20084615,0.953011059,0.047594198,64.05300846,0.994392386,0.023427894,65.04906079,0.970674439,0.081634512
AT1G03630,40.58855339,0.999044498,0.012182855,41.90284022,0.998275305,0.019898566,41.76915423,0.999412104,0.011886408
AT1G03680,62.35088819,0.983756847,0.03933235,62.05600905,0.992250623,0.031231692,63.50347925,0.971042496,0.077516594
AT1G03860,29.67660097,0.996672052,0.019930129,54.21294207,0.994633689,0.034517262,53.89179764,0.992647844,0.040983147
AT1G03900,55.64596475,0.984656664,0.043674936,,,,,,
AT1G04130,,,,49.29531804,0.991798202,0.042870178,,,
AT1G04170,49.71410155,0.997913181,0.021536555,54.40047255,0.9968631,0.027837687,54.95064361,0.995317607,0.034272479
AT1G04270,34.01934207,0.994055325,0.027059248,54.66946618,0.994785666,0.03503109,54.81923523,0.992074615,0.043437176
AT1G04340,54.93215679,0.926232218,0.092382906,,,,,,
AT1G04400,,,,53.60240442,0.99216418,0.038547369,,,
AT1G04410,49.28753023,0.998653305,0.019746733,52.9646598,0.998319414,0.021147216,52.57126168,0.999031472,0.016034953
AT1G04430,43.73372659,0.997058807,0.024806508,49.03820823,0.992430917,0.042144407,,,
AT1G04480,59.68779746,0.986380535,0.033750594,63.5812866,0.978150604,0.050636775,64.06199599,0.952126338,0.104532315
AT1G04620,51.89764253,0.994669592,0.034599837,58.16105909,0.993784759,0.034185794,58.77766298,0.987138922,0.050455409
AT1G04690,45.5956772,0.999723087,0.008521538,54.02785023,0.998342996,0.02045316,53.99219837,0.998207114,0.021346371
AT1G04710,49.14736689,0.992358397,0.042847415,51.07406957,0.990913698,0.045078471,52.49017415,0.963844888,0.089843823
AT1G04850,59.86625155,0.982415544,0.047355301,49.73314098,0.991126322,0.046236011,48.9159783,0.982328184,0.067297734
AT1G04870,42.51056104,0.999618542,0.008823546,45.37419071,0.996228994,0.029118645,45.02604312,0.991986611,0.046596397
AT1G04970,56.27108408,0.965938421,0.077463644,58.26092173,0.949242008,0.096167414,,,
AT1G05190,49.65215104,0.997746284,0.016571503,59.88192997,0.848425377,0.192942396,62.71956185,0.853897668,0.217666041
AT1G05500,49.17204358,0.992216153,0.03825035,51.07327116,0.988427633,0.050911538,,,
AT1G05680,46.32429316,0.991098034,0.042406276,53.2847523,0.996124596,0.028180465,52.12296206,0.997573159,0.025732262
AT1G06290,47.63960399,0.999580384,0.009180435,54.31660014,0.994963403,0.033253747,54.31634448,0.996914188,0.026361545
AT1G06400,39.31139641,0.997618655,0.01861243,51.71544022,0.996742761,0.025522749,50.76612171,0.991349039,0.042135841
AT1G06530,52.2179054,0.9960304,0.022648691,50.57000811,0.991587158,0.038886454,52.23902213,0.954832811,0.10014675
