gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G01090,42.817642,0.997858945,0.022075931,52.87125588,0.996669509,0.027956183,52.5399279,0.99723142,0.025670912
AT1G01290,,,,55.59716323,0.985121032,0.05057299,,,
AT1G01620,,,,61.09692603,0.975268215,0.068525178,61.74002737,0.982690328,0.056415113
AT1G01820,41.45087917,0.996044787,0.024505229,53.32314973,0.993900353,0.036909288,,,
AT1G02090,53.53850268,0.976811383,0.059224865,,,,,,
AT1G02130,43.48699251,0.996947938,0.023915038,51.60053913,0.996184552,0.027807479,51.90939245,0.995550829,0.031839867
AT1G02280,40.58220569,0.997011747,0.021017174,49.62051742,0.990809359,0.046429455,49.25040851,0.993651404,0.040209216
AT1G02330,66.39874234,0.930547414,0.076662596,,,,,,
AT1G02500,41.44413752,0.999611256,0.008075332,52.8869137,0.993178029,0.039242575,53.13232526,0.991589507,0.044586842
AT1G02560,40.02051928,0.997387712,0.019930095,53.84388419,0.995204953,0.033362087,52.96885943,0.99424168,0.03608792
AT1G02780,49.92150519,0.907627402,0.075702347,,,,,,
AT1G02830,59.10705011,0.954653444,0.067782052,,,,,,
AT1G03090,49.53113813,0.989728561,0.047123999,53.60120048,0.995782364,0.031820322,53.61220097,0.989875411,0.052118863
AT1G03130,55.38251682,0.997815291,0.019107946,57.20992709,0.967237276,0.086397015,58.43318621,0.990310968,0.046097608
AT1G03330,56.41165651,0.989398806,0.041182181,57.26421323,0.994931119,0.029770558,58.88111737,0.991089833,0.040935102
AT1G03360,,,,50.11278436,0.987471468,0.059897379,,,
AT1G03475,57.97065294,0.988086503,0.04737591,56.67258411,0.99611545,0.029240467,57.28560538,0.996240263,0.029237976
AT1G03600,68.20084615,0.953011059,0.047594198,64.05300846,0.994392386,0.023427894,65.04906079,0.970674439,0.081634512
