experiment,source_file,source_row,source_protein,source_gene_name,mapping_accession,protein_accession,protein_gene_name_match,gene,mapping_status,selection_rank,selected_for_wide_table,Tm,R2,RSE
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,1,A0A178VBR3,A0A178VBR3,A0A178VBR3,A0A178VBR3,True,,unmapped_to_nodes,,False,40.36425194,0.992091222,0.038878113
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,2,A0A1I9LM41,A0A1I9LM41,A0A1I9LM41,A0A1I9LM41,True,,unmapped_to_nodes,,False,55.96360942,0.904343048,0.133543039
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,3,A0A1I9LQP3,A0A1I9LQP3,A0A1I9LQP3,A0A1I9LQP3,True,,unmapped_to_nodes,,False,59.80261802,0.909234928,0.089053138
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,4,A0A1P8APK3,A0A1P8APK3,A0A1P8APK3,A0A1P8APK3,True,,unmapped_to_nodes,,False,39.65151542,0.994302447,0.0281085
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,5,A0A1P8AX61,A0A1P8AX61,A0A1P8AX61,A0A1P8AX61,True,,unmapped_to_nodes,,False,51.23306805,0.993301708,0.037658887
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,6,A0A1P8B5Y0,A0A1P8B5Y0,A0A1P8B5Y0,A0A1P8B5Y0,True,,unmapped_to_nodes,,False,36.14735465,0.976719425,0.049202098
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,7,A0A1P8B8I9,A0A1P8B8I9,A0A1P8B8I9,A0A1P8B8I9,True,,unmapped_to_nodes,,False,43.454804,0.985697015,0.058068509
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,8,A0A1P8B9B0,A0A1P8B9B0,A0A1P8B9B0,A0A1P8B9B0,True,,unmapped_to_nodes,,False,54.80018593,0.990417091,0.043075384
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,9,A0A1P8B9Q7,A0A1P8B9Q7,A0A1P8B9Q7,A0A1P8B9Q7,True,,unmapped_to_nodes,,False,56.35599958,0.985751831,0.040538196
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,10,A0A1P8BAY5,A0A1P8BAY5,A0A1P8BAY5,A0A1P8BAY5,True,,unmapped_to_nodes,,False,49.92040629,0.99840794,0.019965018
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,11,A0A1P8BBL0,A0A1P8BBL0,A0A1P8BBL0,A0A1P8BBL0,True,,unmapped_to_nodes,,False,61.57210625,0.957154124,0.08352563
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,12,A0A1P8BF77,A0A1P8BF77,A0A1P8BF77,A0A1P8BF77,True,,unmapped_to_nodes,,False,41.94980306,0.997742997,0.019768161
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,13,A0A1P8BFH2,A0A1P8BFH2,A0A1P8BFH2,A0A1P8BFH2,True,,unmapped_to_nodes,,False,43.47311308,0.990477332,0.041509884
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,14,A0A1P8BH73,A0A1P8BH73,A0A1P8BH73,A0A1P8BH73,True,,unmapped_to_nodes,,False,56.85298833,0.996172161,0.022963375
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,15,A0A1R7T3C8,A0A1R7T3C8,A0A1R7T3C8,A0A1R7T3C8,True,,unmapped_to_nodes,,False,39.51100263,0.997402371,0.021713406
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,16,A0A2H1ZEK8,A0A2H1ZEK8,A0A2H1ZEK8,A0A2H1ZEK8,True,,unmapped_to_nodes,,False,59.05623875,0.988989714,0.033576946
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,17,A1L4Y1,A1L4Y1,A1L4Y1,A1L4Y1,True,,unmapped_to_nodes,,False,37.68307777,0.993591266,0.029623121
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,18,A8MRZ7,A8MRZ7,A8MRZ7,A8MRZ7,True,,unmapped_to_nodes,,False,39.17469727,0.999649166,0.007788017
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,19,A8MS69,A8MS69,A8MS69,A8MS69,True,,unmapped_to_nodes,,False,49.19700258,0.999257331,0.013200614
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,20,B3H6I9,B3H6I9,B3H6I9,B3H6I9,True,,unmapped_to_nodes,,False,49.5824479,0.994392978,0.034657268
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,22,B3H7F6,B3H7F6,B3H7F6,B3H7F6,True,,unmapped_to_nodes,,False,61.55110357,0.899386997,0.08971768
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,23,B3H7J6,B3H7J6,B3H7J6,B3H7J6,True,,unmapped_to_nodes,,False,32.88341932,0.98420575,0.041384364
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,24,B9DG18,B9DG18,B9DG18,B9DG18,True,,unmapped_to_nodes,,False,47.22335855,0.995529419,0.03177639
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,25,F4HNW2,F4HNW2,F4HNW2,F4HNW2,True,,unmapped_to_nodes,,False,58.01026743,0.965029636,0.055992021
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,26,F4HVV7,F4HVV7,F4HVV7,F4HVV7,True,,unmapped_to_nodes,,False,60.67846057,0.963404734,0.061921803
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,27,F4I035,F4I035,F4I035,F4I035,True,,unmapped_to_nodes,,False,44.3534017,0.998025273,0.018490636
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,28,F4I096,F4I096,F4I096,F4I096,True,,unmapped_to_nodes,,False,45.60743415,0.997796737,0.023180651
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,29,F4I7V2,F4I7V2,F4I7V2,F4I7V2,True,,unmapped_to_nodes,,False,44.88221607,0.996071973,0.029232665
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,30,F4IFM6,F4IFM6,F4IFM6,F4IFM6,True,,unmapped_to_nodes,,False,44.42358424,0.998892505,0.014295139
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,31,F4IFV5,F4IFV5,F4IFV5,F4IFV5,True,,unmapped_to_nodes,,False,53.87163435,0.980186365,0.055555815
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,32,F4IZ56,F4IZ56,F4IZ56,F4IZ56,True,,unmapped_to_nodes,,False,40.8693222,0.994541997,0.029462708
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,33,F4IZR5,F4IZR5,F4IZR5,F4IZR5,True,,unmapped_to_nodes,,False,37.98133451,0.981173444,0.052931031
