gene,Lyu_lysate_cell_MS2_Tm,Lyu_lysate_cell_MS2_R2,Lyu_lysate_cell_MS2_RSE,Lyu_intact_cell_MS2_Tm,Lyu_intact_cell_MS2_R2,Lyu_intact_cell_MS2_RSE,Lyu_intact_cell_MS3_Tm,Lyu_intact_cell_MS3_R2,Lyu_intact_cell_MS3_RSE
AT1G01090,42.817642,0.997858945,0.022075931,52.87125588,0.996669509,0.027956183,52.5399279,0.99723142,0.025670912
AT1G01620,,,,61.09692603,0.975268215,0.068525178,61.74002737,0.982690328,0.056415113
AT1G01820,41.45087917,0.996044787,0.024505229,53.32314973,0.993900353,0.036909288,,,
AT1G02090,53.53850268,0.976811383,0.059224865,,,,,,
AT1G02280,40.58220569,0.997011747,0.021017174,49.62051742,0.990809359,0.046429455,49.25040851,0.993651404,0.040209216
AT1G02500,41.44413752,0.999611256,0.008075332,52.8869137,0.993178029,0.039242575,53.13232526,0.991589507,0.044586842
AT1G02560,40.02051928,0.997387712,0.019930095,53.84388419,0.995204953,0.033362087,52.96885943,0.99424168,0.03608792
AT1G02780,49.92150519,0.907627402,0.075702347,,,,,,
AT1G03130,55.38251682,0.997815291,0.019107946,57.20992709,0.967237276,0.086397015,58.43318621,0.990310968,0.046097608
AT1G03330,56.41165651,0.989398806,0.041182181,57.26421323,0.994931119,0.029770558,58.88111737,0.991089833,0.040935102
AT1G03360,,,,50.11278436,0.987471468,0.059897379,,,
AT1G03600,68.20084615,0.953011059,0.047594198,64.05300846,0.994392386,0.023427894,65.04906079,0.970674439,0.081634512
AT1G03630,40.58855339,0.999044498,0.012182855,41.90284022,0.998275305,0.019898566,41.76915423,0.999412104,0.011886408
AT1G03680,62.35088819,0.983756847,0.03933235,62.05600905,0.992250623,0.031231692,63.50347925,0.971042496,0.077516594
AT1G03860,29.67660097,0.996672052,0.019930129,54.21294207,0.994633689,0.034517262,53.89179764,0.992647844,0.040983147
AT1G04170,49.71410155,0.997913181,0.021536555,54.40047255,0.9968631,0.027837687,54.95064361,0.995317607,0.034272479
AT1G04270,34.01934207,0.994055325,0.027059248,54.66946618,0.994785666,0.03503109,54.81923523,0.992074615,0.043437176
AT1G04400,,,,53.60240442,0.99216418,0.038547369,,,
AT1G04410,49.28753023,0.998653305,0.019746733,52.9646598,0.998319414,0.021147216,52.57126168,0.999031472,0.016034953
AT1G04430,43.73372659,0.997058807,0.024806508,49.03820823,0.992430917,0.042144407,,,
AT1G04480,59.68779746,0.986380535,0.033750594,63.5812866,0.978150604,0.050636775,64.06199599,0.952126338,0.104532315
AT1G04690,45.5956772,0.999723087,0.008521538,54.02785023,0.998342996,0.02045316,53.99219837,0.998207114,0.021346371
AT1G04870,42.51056104,0.999618542,0.008823546,45.37419071,0.996228994,0.029118645,45.02604312,0.991986611,0.046596397
AT1G05190,49.65215104,0.997746284,0.016571503,59.88192997,0.848425377,0.192942396,62.71956185,0.853897668,0.217666041
AT1G05500,49.17204358,0.992216153,0.03825035,51.07327116,0.988427633,0.050911538,,,
AT1G06290,47.63960399,0.999580384,0.009180435,54.31660014,0.994963403,0.033253747,54.31634448,0.996914188,0.026361545
AT1G06400,39.31139641,0.997618655,0.01861243,51.71544022,0.996742761,0.025522749,50.76612171,0.991349039,0.042135841
AT1G06530,52.2179054,0.9960304,0.022648691,50.57000811,0.991587158,0.038886454,52.23902213,0.954832811,0.10014675
AT1G06680,61.92252148,0.978392095,0.043215319,55.92921312,0.993803561,0.03298895,57.06568527,0.982080865,0.060555209
AT1G06700,,,,47.47691845,0.989636214,0.049362806,47.81162328,0.993593916,0.041334313
AT1G06950,35.80186095,0.996854564,0.020607871,45.99288804,0.979892585,0.074942848,45.40549944,0.98313289,0.072474827
AT1G07140,59.68037797,0.986906918,0.041096533,48.53150211,0.997787086,0.022674409,48.47125155,0.990130457,0.049171785
AT1G07360,55.11215891,0.972963193,0.05301177,,,,,,
AT1G07370,50.52256707,0.99917119,0.013357866,52.08099135,0.984901623,0.060267919,,,
AT1G07400,56.45564915,0.963779583,0.049528781,46.70372377,0.970147438,0.068607125,46.02492529,0.953523057,0.0923164
AT1G07810,42.45854061,0.996138045,0.026444148,50.32476431,0.996502762,0.027778588,,,
AT1G07890,43.57458944,0.998529507,0.01616755,46.04949331,0.99857291,0.018686775,45.39308909,0.999307026,0.013324801
AT1G07940,48.20443811,0.999361204,0.009837664,49.26589145,0.996739937,0.028412868,48.48262629,0.995858986,0.033030882
AT1G08200,44.31411377,0.999501877,0.010767612,49.66579172,0.992364928,0.045092112,49.91106125,0.991312281,0.049596904
AT1G08360,40.28805342,0.994410029,0.026356167,55.12099476,0.962139517,0.081011556,54.80570224,0.959081719,0.08548963
AT1G08480,35.16388842,0.986079704,0.041086184,55.53744937,0.990315863,0.045335827,55.62321929,0.978198097,0.073738228
AT1G08780,56.87424914,0.993006856,0.030183824,54.14793312,0.938232255,0.135010747,,,
AT1G08820,55.00629732,0.993458753,0.031045545,54.57089497,0.973103963,0.073186856,,,
AT1G08830,62.92344416,0.969350258,0.055309248,60.43416736,0.966823987,0.067522406,61.66492178,0.955732856,0.091300513
AT1G09070,56.19601582,0.997514298,0.020019377,47.66176049,0.995540132,0.033024937,46.99899044,0.993143666,0.040857935
AT1G09210,,,,44.24116925,0.994139228,0.034785714,45.29874708,0.965538384,0.082659196
AT1G09270,45.14976454,0.998350298,0.017729731,48.03171907,0.990546161,0.046067757,,,
AT1G09630,42.24665265,0.99803157,0.017986914,51.08180634,0.989582984,0.045302739,52.5666688,0.975199988,0.069104997
AT1G09760,39.60628076,0.996588611,0.023956892,51.5928277,0.998555106,0.017714556,50.74247538,0.996701508,0.027344435
AT1G09840,,,,49.8151245,0.985583619,0.059899028,,,
AT1G10522,55.76427297,0.942250339,0.118620302,55.72978623,0.891109106,0.117488034,,,
AT1G10760,38.4369647,0.998767109,0.014170364,45.7130576,0.985852068,0.063604438,45.41681964,0.989736472,0.055740792
AT1G10840,50.91600993,0.996745122,0.024007082,50.47401508,0.996506374,0.026635328,52.70617666,0.97432847,0.072222188
AT1G11260,,,,58.86067693,0.967667485,0.072918996,,,
AT1G11430,55.37458754,0.986059902,0.041342867,53.59932522,0.980533625,0.051236552,,,
AT1G11650,36.38439801,0.997612714,0.018432862,44.40137291,0.992698703,0.041616804,43.01534085,0.996393093,0.030656906
AT1G12000,36.86252938,0.996678601,0.020789068,51.45623994,0.995082937,0.03350391,51.2675161,0.993077149,0.040220843
AT1G12270,61.72309826,0.992695929,0.026672223,46.43603561,0.994780567,0.034168854,46.36812609,0.980875556,0.066505142
