experiment,source_file,source_row,source_protein,source_gene_name,mapping_accession,protein_accession,protein_gene_name_match,gene,mapping_status,selection_rank,selected_for_wide_table,Tm,R2,RSE
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,688,P34788,P34788,P34788,P34788,True,,ambiguous_node_mapping,,False,44.29349078,0.9949314,0.024280352
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,721,P42798,P42798,P42798,P42798,True,,ambiguous_node_mapping,,False,32.88362353,0.995985352,0.022587316
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,748,P49200,P49200,P49200,P49200,True,,ambiguous_node_mapping,,False,51.81351145,0.994212412,0.025769261
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,749,P49209,P49209,P49209,P49209,True,,ambiguous_node_mapping,,False,44.3963619,0.991702125,0.029157872
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,814,P59259,P59259,P59259,P59259,True,,ambiguous_node_mapping,,False,36.73571295,0.996315718,0.022491384
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,1325,Q93VB8,Q93VB8,Q93VB8,Q93VB8,True,,ambiguous_node_mapping,,False,42.81603561,0.963230606,0.057972186
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,1588,Q9FDZ9,Q9FDZ9,Q9FDZ9,Q9FDZ9,True,,ambiguous_node_mapping,,False,39.62659245,0.955729013,0.060208276
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,2619,F4JY76,F4JY76,F4JY76,F4JY76,True,,ambiguous_node_mapping,,False,36.23523054,0.996396487,0.023014955
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,2792,P59226,P59226,P59226,P59226,True,,ambiguous_node_mapping,,False,50.98043784,0.99428979,0.029990288
lysate_cell_MS2,melting-point-Lyu2023-lysate-cell-MS2.csv,3724,P49690,P49690,P49690,P49690,True,,ambiguous_node_mapping,,False,59.68779746,0.986380535,0.033750594
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,284,Q9LUF8,Q9LUF8,Q9LUF8,Q9LUF8,True,,ambiguous_node_mapping,,False,52.41757081,0.951200962,0.093309483
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,715,F4JY76,F4JY76,F4JY76,F4JY76,True,,ambiguous_node_mapping,,False,51.32636667,0.988958327,0.047742986
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,1174,P34788,P34788,P34788,P34788,True,,ambiguous_node_mapping,,False,56.28595872,0.993060049,0.034911281
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,1214,P42798,P42798,P42798,P42798,True,,ambiguous_node_mapping,,False,51.48425834,0.999107046,0.014238899
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,1255,P49200,P49200,P49200,P49200,True,,ambiguous_node_mapping,,False,55.46742589,0.994484351,0.033727532
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,1257,P49209,P49209,P49209,P49209,True,,ambiguous_node_mapping,,False,53.14030666,0.98873512,0.046644185
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,1263,P49689,P49689,P49689,P49689,True,,ambiguous_node_mapping,,False,67.0406963,0.932096745,0.072424745
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,1264,P49690,P49690,P49690,P49690,True,,ambiguous_node_mapping,,False,63.5812866,0.978150604,0.050636775
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,1340,P59259,P59259,P59259,P59259,True,,ambiguous_node_mapping,,False,58.1397297,0.984269895,0.04414036
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2112,Q93VB8,Q93VB8,Q93VB8,Q93VB8,True,,ambiguous_node_mapping,,False,52.59364487,0.976115256,0.064227471
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,2481,Q9FDZ9,Q9FDZ9,Q9FDZ9,Q9FDZ9,True,,ambiguous_node_mapping,,False,59.23510295,0.924514776,0.122632538
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,3887,Q680P8,Q680P8,Q680P8,Q680P8,True,,ambiguous_node_mapping,,False,62.63330407,0.925595723,0.106863638
intact_cell_MS2,melting-point-Lyu2023-intact-cell-MS2.csv,4065,O23290,O23290,O23290,O23290,True,,ambiguous_node_mapping,,False,66.24950914,0.900365951,0.08678343
intact_cell_MS3,melting-point-Lyu2023-intact-cell-MS3.csv,619,F4JY76,F4JY76,F4JY76,F4JY76,True,,ambiguous_node_mapping,,False,51.40847583,0.97879136,0.067854033
intact_cell_MS3,melting-point-Lyu2023-intact-cell-MS3.csv,712,O23290,O23290,O23290,O23290,True,,ambiguous_node_mapping,,False,,-0.130669621,0.63279219
intact_cell_MS3,melting-point-Lyu2023-intact-cell-MS3.csv,938,P34788,P34788,P34788,P34788,True,,ambiguous_node_mapping,,False,56.44686309,0.996198078,0.027927984
intact_cell_MS3,melting-point-Lyu2023-intact-cell-MS3.csv,976,P42798,P42798,P42798,P42798,True,,ambiguous_node_mapping,,False,50.74201565,0.999398138,0.011926389
