name,_wkshell,_wks_percentile_bucket
AT5G06110,84.0,50.0
AT3G50310,19.0,25.0
AT3G50440,217.0,75.0
AT5G37720,68.0,45.0
AT3G50820,77.0,50.0
AT3G50930,61.0,45.0
AT3G50950,6.0,10.0
AT5G25440,6.0,10.0
AT3G51130,128.0,60.0
AT3G51160,217.0,75.0
AT3G51770,2.0,0.0
AT3G51820,40.0,35.0
AT5G37770,2.0,0.0
AT3G51840,3.0,5.0
AT3G51895,63.0,45.0
AT3G52120,84.0,50.0
AT3G52300,217.0,80.0
AT3G52420,5.0,10.0
AT3G52850,,
AT3G52890,2.0,0.0
AT3G52910,1.0,0.0
AT4G00850,1.0,0.0
AT3G53120,128.0,65.0
AT3G53150,40.0,35.0
AT3G53390,54.0,40.0
AT3G53990,217.0,85.0
AT5G06320,104.0,55.0
AT5G16130,217.0,90.0
AT3G53510,63.0,45.0
AT3G53620,128.0,60.0
AT3G54050,217.0,80.0
AT3G54090,62.0,45.0
AT3G54110,40.0,35.0
AT3G54130,105.0,55.0
AT3G56130,62.0,45.0
AT3G56940,62.0,45.0
AT3G60660,62.0,45.0
AT4G00238,62.0,45.0
AT4G04640,217.0,85.0
AT4G09980,62.0,45.0
AT4G10760,62.0,45.0
AT4G35250,62.0,45.0
AT4G35860,217.0,85.0
AT4G36690,217.0,85.0
AT4G38510,217.0,85.0
AT5G06360,62.0,45.0
AT5G10060,217.0,85.0
AT5G23060,82.0,50.0
AT5G23120,62.0,45.0
AT5G44020,62.0,45.0
AT5G47200,62.0,45.0
AT5G51100,217.0,85.0
AT1G01040,9.0,15.0
AT5G51180,62.0,45.0
AT5G54270,217.0,80.0
AT1G09700,9.0,15.0
AT5G64140,62.0,45.0
AT3G20550,2.0,5.0
AT5G65020,217.0,80.0
AT4G15900,126.0,60.0
AT3G54230,217.0,75.0
AT1G01050,217.0,75.0
AT3G54300,17.0,20.0
AT5G03240,344.0,95.0
AT5G19000,2.0,0.0
AT1G01060,5.0,10.0
AT3G54400,40.0,35.0
AT2G46830,9.0,15.0
AT3G54590,40.0,35.0
AT4G18390,6.0,10.0
AT3G54920,84.0,50.0
AT1G01090,159.0,65.0
AT3G55005,128.0,60.0
AT1G30120,171.0,70.0
AT3G55130,63.0,45.0
AT2G34590,167.0,70.0
AT3G55770,217.0,80.0
AT3G02520,256.0,90.0
AT5G11300,20.0,25.0
AT4G29040,339.0,95.0
AT4G39730,3.0,5.0
AT5G06290,288.0,95.0
AT3G56410,128.0,65.0
AT5G16050,260.0,90.0
AT3G56800,3.0,5.0
AT5G38480,340.0,95.0
AT3G56910,217.0,85.0
AT1G01100,42.0,35.0
AT3G57560,3.0,5.0
AT2G40010,323.0,95.0
AT3G58780,217.0,80.0
AT3G44590,262.0,90.0
AT3G59020,217.0,80.0
AT1G01120,63.0,45.0
AT3G59150,8.0,15.0
AT5G65430,336.0,95.0
AT3G59380,217.0,75.0
AT1G01140,128.0,60.0
AT5G40280,2.0,0.0
AT4G18710,343.0,95.0
AT3G59920,217.0,75.0
AT1G01160,1.0,0.0
AT5G16840,128.0,60.0
AT5G53660,1.0,0.0
AT3G61220,128.0,60.0
AT1G01200,50.0,40.0
AT3G61830,63.0,45.0
AT5G46630,331.0,95.0
AT3G61860,3.0,5.0
AT1G01230,2.0,5.0
AT3G61870,40.0,35.0
AT4G36480,3.0,5.0
AT3G62290,217.0,75.0
AT1G01340,84.0,50.0
AT3G62560,217.0,75.0
AT1G01360,9.0,15.0
AT3G62600,84.0,50.0
AT4G26080,217.0,90.0
AT3G62800,3.0,5.0
AT1G01510,128.0,60.0
AT5G20320,217.0,80.0
AT1G01560,40.0,35.0
AT3G63130,18.0,25.0
AT4G25030,317.0,95.0
AT3G63190,82.0,50.0
AT1G01620,217.0,90.0
AT4G11600,2.0,0.0
AT2G45960,342.0,95.0
AT5G45010,7.0,10.0
AT3G24300,338.0,95.0
AT5G10290,10.0,15.0
AT3G28860,207.0,70.0
AT5G45510,61.0,45.0
AT3G53420,341.0,95.0
AT4G00720,63.0,45.0
AT1G01820,4.0,10.0
AT4G00752,128.0,60.0
