name,_wkshell
AT1G01040,11.0
AT1G01050,357.0
AT1G01060,5.0
AT1G01090,234.0
AT1G01100,249.0
AT1G01120,95.0
AT1G01140,221.0
AT1G01160,1.0
AT1G01170,48.0
AT1G01183,7.0
AT1G01200,85.0
AT1G01230,3.0
AT1G01290,111.0
AT1G01320,357.0
AT1G01340,128.0
AT1G01360,10.0
AT1G01370,3.0
AT1G01510,221.0
AT1G01560,41.0
AT1G01610,25.0
AT1G01620,357.0
AT1G01740,11.0
AT1G01820,4.0
AT1G01880,19.0
AT1G01940,3.0
AT1G01960,357.0
AT1G01970,5.0
AT1G01990,96.0
AT1G02065,30.0
AT1G02080,357.0
AT1G02090,151.0
AT1G02130,357.0
AT1G02140,357.0
AT1G02280,15.0
AT1G02330,221.0
AT1G02340,43.0
AT1G02450,3.0
AT1G02500,211.0
AT1G02510,357.0
AT1G02520,357.0
AT1G02530,357.0
AT1G02560,357.0
AT1G02580,40.0
AT1G02640,6.0
AT1G02690,42.0
AT1G02740,63.0
AT1G02750,221.0
AT1G02780,599.0
AT1G02830,600.0
AT1G02840,357.0
AT1G02970,29.0
AT1G03060,15.0
AT1G03090,357.0
AT1G03130,96.0
AT1G03190,125.0
AT1G03330,58.0
AT1G03350,221.0
AT1G03360,209.0
AT1G03380,221.0
AT1G03445,76.0
AT1G03475,357.0
AT1G03600,43.0
AT1G03630,357.0
AT1G03680,357.0
AT1G03740,221.0
AT1G03760,41.0
AT1G03780,26.0
AT1G03860,87.0
AT1G03870,261.0
AT1G03910,24.0
AT1G03960,87.0
AT1G04010,23.0
AT1G04050,3.0
AT1G04080,184.0
AT1G04160,14.0
AT1G04170,301.0
AT1G04190,12.0
AT1G04210,357.0
AT1G04220,151.0
AT1G04240,4.0
AT1G04250,128.0
AT1G04270,573.0
AT1G04310,5.0
AT1G04360,357.0
AT1G04390,96.0
AT1G04400,109.0
AT1G04410,357.0
AT1G04430,357.0
AT1G04480,542.0
AT1G04510,459.0
AT1G04530,221.0
AT1G04550,4.0
AT1G04600,88.0
AT1G04630,140.0
AT1G04650,96.0
AT1G04680,357.0
AT1G04690,357.0
AT1G04750,201.0
AT1G04810,550.0
AT1G04820,357.0
AT1G04870,92.0
AT1G04950,413.0
AT1G05000,9.0
AT1G05010,357.0
AT1G05055,6.0
AT1G05140,32.0
AT1G05150,357.0
AT1G05160,89.0
AT1G05180,73.0
AT1G05190,357.0
AT1G05200,76.0
AT1G05385,10.0
AT1G05460,5.0
AT1G05470,2.0
AT1G05490,15.0
AT1G05500,261.0
AT1G05510,357.0
AT1G05520,357.0
AT1G05620,17.0
AT1G05670,9.0
AT1G05730,6.0
AT1G05740,6.0
AT1G05805,221.0
AT1G06000,357.0
AT1G06020,128.0
AT1G06030,128.0
AT1G06040,357.0
AT1G06070,19.0
AT1G06110,19.0
AT1G06210,221.0
AT1G06220,567.0
AT1G06290,357.0
AT1G06400,357.0
AT1G06410,357.0
AT1G06430,8.0
AT1G06460,89.0
AT1G06475,89.0
AT1G06515,3.0
AT1G06530,1.0
AT1G06590,129.0
AT1G06650,221.0
AT1G06680,29.0
AT1G06700,357.0
AT1G06720,107.0
AT1G06790,230.0
AT1G06820,128.0
AT1G06840,221.0
AT1G06950,103.0
AT1G06960,182.0
AT1G07000,2.0
AT1G07070,599.0
AT1G07110,221.0
AT1G07130,32.0
AT1G07140,44.0
AT1G07170,50.0
AT1G07220,88.0
AT1G07270,4.0
AT1G07310,61.0
AT1G07320,246.0
AT1G07360,129.0
AT1G07370,357.0
AT1G07400,5.0
AT1G07480,41.0
AT1G07500,47.0
AT1G07510,38.0
AT1G07530,221.0
AT1G07570,128.0
AT1G07590,41.0
AT1G07650,41.0
AT1G07660,414.0
AT1G07670,112.0
AT1G07750,89.0
AT1G07770,602.0
AT1G07810,95.0
AT1G07820,409.0
AT1G07830,6.0
AT1G07890,357.0
AT1G07920,357.0
AT1G07930,39.0
AT1G07940,357.0
AT1G07980,101.0
AT1G07990,221.0
AT1G08005,30.0
AT1G08050,17.0
AT1G08070,41.0
AT1G08130,4.0
AT1G08140,89.0
AT1G08160,169.0
AT1G08180,65.0
AT1G08200,88.0
AT1G08290,8.0
AT1G08360,592.0
AT1G08370,15.0
AT1G08380,357.0
AT1G08400,357.0
AT1G08410,221.0
AT1G08420,357.0
AT1G08450,20.0
AT1G08460,2.0
AT1G08480,73.0
AT1G08490,357.0
AT1G08520,85.0
AT1G08560,423.0
AT1G08600,221.0
AT1G08680,221.0
AT1G08720,95.0
AT1G08780,98.0
AT1G08800,221.0
AT1G08820,221.0
AT1G08830,357.0
AT1G08970,20.0
AT1G09000,1.0
AT1G09020,357.0
AT1G09030,357.0
AT1G09060,295.0
AT1G09070,221.0
AT1G09080,2.0
AT1G09100,547.0
AT1G09130,134.0
AT1G09140,14.0
AT1G09150,8.0
AT1G09180,357.0
AT1G09200,130.0
AT1G09210,255.0
AT1G09270,357.0
AT1G09330,9.0
AT1G09340,181.0
AT1G09400,357.0
AT1G09430,15.0
AT1G09530,186.0
AT1G09570,164.0
AT1G09590,602.0
AT1G09620,221.0
AT1G09630,2.0
AT1G09640,279.0
AT1G09690,602.0
AT1G09700,10.0
AT1G09750,107.0
AT1G09760,157.0
AT1G09770,348.0
AT1G09780,259.0
