name,_wkshell
AT1G01040,25.0
AT1G01050,1.0
AT1G01060,54.0
AT1G01090,42.0
AT1G01100,3.0
AT1G01120,30.0
AT1G01140,72.0
AT1G01160,150.0
AT1G01200,nan
AT1G01230,65.0
AT1G01340,61.0
AT1G01360,201.0
AT1G01510,12.0
AT1G01560,45.0
AT1G01610,nan
AT1G01620,87.0
AT1G01820,2.0
AT1G01880,8.0
AT1G02090,86.0
AT1G02140,55.0
AT1G02280,39.0
AT1G02340,145.0
AT1G02450,80.0
AT1G02500,11.0
AT1G02510,6.0
AT1G02560,8.0
AT1G02580,8.0
AT1G02690,177.0
AT1G02740,24.0
AT1G02780,43.0
AT1G02840,51.0
AT1G02970,33.0
AT1G03060,3.0
AT1G03130,105.0
AT1G03190,1.0
AT1G03330,nan
AT1G03350,17.0
AT1G03360,5.0
AT1G03445,3.0
AT1G03600,42.0
AT1G03630,22.0
AT1G03680,20.0
AT1G03740,nan
AT1G03760,45.0
AT1G03860,12.0
AT1G03910,nan
AT1G03960,17.0
AT1G04050,5.0
AT1G04170,20.0
AT1G04240,239.0
AT1G04250,253.0
AT1G04270,16.0
AT1G04310,34.0
AT1G04360,2.0
AT1G04400,58.0
AT1G04410,23.0
AT1G04430,nan
AT1G04480,16.0
AT1G04550,205.0
AT1G04650,12.0
AT1G04690,17.0
AT1G04750,22.0
AT1G04870,62.0
AT1G04950,3.0
AT1G05000,83.0
AT1G05055,1.0
AT1G05190,42.0
AT1G05200,21.0
AT1G05385,3.0
AT1G05500,16.0
AT1G05510,62.0
AT1G05730,12.0
AT1G05805,48.0
AT1G06040,92.0
AT1G06070,3.0
AT1G06110,22.0
AT1G06290,nan
AT1G06400,6.0
AT1G06460,33.0
AT1G06530,1.0
AT1G06680,62.0
AT1G06700,3.0
AT1G06790,23.0
AT1G06840,94.0
AT1G06950,1.0
AT1G07000,7.0
AT1G07130,17.0
AT1G07140,12.0
AT1G07310,62.0
AT1G07360,165.0
AT1G07370,62.0
AT1G07400,16.0
AT1G07480,43.0
AT1G07500,nan
AT1G07530,25.0
AT1G07570,21.0
AT1G07590,45.0
AT1G07650,113.0
AT1G07660,1.0
AT1G07770,43.0
AT1G07810,nan
AT1G07890,80.0
AT1G07930,nan
AT1G07940,12.0
AT1G07980,72.0
AT1G08070,43.0
AT1G08140,50.0
AT1G08200,80.0
AT1G08290,46.0
AT1G08360,nan
AT1G08370,13.0
AT1G08420,15.0
AT1G08460,1.0
AT1G08480,6.0
AT1G08560,17.0
AT1G08720,6.0
AT1G08780,9.0
AT1G08800,3.0
AT1G08820,20.0
AT1G08830,80.0
AT1G08970,251.0
AT1G09000,6.0
AT1G09020,160.0
AT1G09030,121.0
AT1G09060,5.0
AT1G09070,80.0
AT1G09080,2.0
AT1G09100,9.0
AT1G09140,51.0
AT1G09180,8.0
AT1G09200,5.0
AT1G09210,62.0
AT1G09270,25.0
AT1G09330,5.0
AT1G09340,1.0
AT1G09530,200.0
AT1G09570,145.0
AT1G09590,80.0
AT1G09630,4.0
AT1G09700,70.0
AT1G09760,62.0
AT1G09770,90.0
AT1G09840,30.0
AT1G09960,23.0
AT1G09970,133.0
AT1G10070,20.0
AT1G10180,13.0
AT1G10200,14.0
AT1G10290,8.0
AT1G10350,62.0
AT1G10430,62.0
AT1G10470,46.0
AT1G10480,145.0
AT1G10520,1.0
AT1G10522,1.0
AT1G10590,14.0
AT1G10690,28.0
AT1G10760,62.0
AT1G10790,29.0
AT1G10820,4.0
AT1G10840,39.0
AT1G10940,33.0
AT1G10960,62.0
AT1G11130,109.0
AT1G11260,2.0
