AGI,Li2017_k_deg_day_inverse
AT1G01080,0.088
AT1G01090,0.204
AT1G01100,0.079
AT1G02280,0.283
AT1G02475,0.158
AT1G02560,0.092
AT1G03130,0.091
AT1G03220,0.118
AT1G03475,0.111
AT1G03600,0.049
AT1G03630,0.17
AT1G03680,0.105
AT1G03870,0.151
AT1G04090,0.088
AT1G04410,0.125
AT1G04420,0.1
AT1G04480,0.02
AT1G04640,0.09
AT1G04690,0.136
AT1G05010,0.131
AT1G05190,0.35
AT1G06430,0.261
AT1G06680,0.086
AT1G06690,0.172
AT1G06950,0.095
AT1G07110,0.103
AT1G07410,0.049
AT1G07440,0.148
AT1G07590,0.098
AT1G07620,0.144
AT1G07770,0.007
AT1G07890,0.11
AT1G08110,0.141
AT1G08200,0.243
AT1G08480,0.092
AT1G08490,0.322
AT1G08550,0.108
AT1G08830,0.135
AT1G08980,0.066
AT1G09130,0.118
AT1G09310,0.373
AT1G09340,0.062
AT1G09560,-0.003
AT1G09620,0.376
AT1G09750,0.109
AT1G09780,0.147
AT1G09795,0.114
AT1G10370,0.062
AT1G10490,0.091
AT1G10590,0.245
AT1G10630,0.187
AT1G10760,0.24
AT1G10960,0.132
AT1G11430,0.071
AT1G11750,0.029
AT1G11840,0.173
AT1G11860,0.058
AT1G11910,0.777
AT1G12000,0.164
AT1G12050,0.154
AT1G12230,0.106
AT1G12250,0.084
AT1G12270,0.104
AT1G12310,0.123
AT1G12410,0.069
AT1G12840,0.141
AT1G12900,0.066
AT1G13270,0.072
AT1G13280,0.114
AT1G13320,0.051
AT1G13340,0.061
AT1G13930,0.163
AT1G14345,0.112
AT1G14410,0.012
AT1G14710,0.109
AT1G14810,0.038
AT1G14980,0.039
AT1G15140,0.064
AT1G15710,0.271
AT1G15820,0.061
AT1G15930,0.038
AT1G15980,0.077
AT1G16080,0.084
AT1G16350,0.066
AT1G16460,0.485
AT1G16720,0.31
AT1G16820,0.132
AT1G16880,0.112
AT1G16890,0.388
AT1G17050,0.117
AT1G17100,0.115
AT1G17290,0.143
AT1G17650,0.043
AT1G17880,0.098
AT1G18070,0.122
AT1G18080,0.03
AT1G18590,0.079
AT1G19025,0.088
AT1G19570,0.336
AT1G20225,0.174
AT1G20260,0.112
AT1G20340,0.082
AT1G20810,0.087
AT1G21065,0.305
AT1G21350,0.1
AT1G21440,0.172
AT1G21610,0.084
AT1G21670,0.155
AT1G21680,0.465
AT1G21750,0.133
AT1G21880,0.097
AT1G22300,0.129
AT1G22410,0.119
AT1G22450,0.11
AT1G22520,0.055
AT1G22530,0.145
AT1G22780,0.105
AT1G22930,0.752
AT1G23030,0.016
AT1G23190,0.153
AT1G23290,0.966
AT1G23310,0.179
AT1G23410,0.3
AT1G23490,0.187
AT1G23740,0.097
AT1G24020,-0.026
AT1G24180,0.14
AT1G24360,0.058
AT1G26640,0.244
AT1G27090,0.352
AT1G27310,0.081
AT1G27530,0.366
AT1G27595,0.262
AT1G27950,0.066
AT1G29150,0.13
AT1G29250,0.061
AT1G29660,0.373
AT1G29670,0.196
AT1G29700,0.193
AT1G29880,0.135
AT1G29900,0.094
AT1G29910,0.04
AT1G29920,0.04
AT1G29930,0.04
AT1G30070,0.062
AT1G30120,0.091
AT1G30230,0.075
AT1G30380,0.076
AT1G30580,0.134
AT1G31160,0.069
AT1G31180,0.037
AT1G31190,0.12
AT1G31230,0.157
AT1G31330,0.064
AT1G31340,0.3
AT1G31812,0.18
AT1G32060,0.1
AT1G32200,0.188
AT1G32220,0.186
AT1G32470,0.062
AT1G32500,0.094
AT1G32550,0.267
AT1G32730,0.069
AT1G32850,0.148
AT1G32900,0.222
AT1G32990,0.089
AT1G33120,0.026
AT1G33140,0.026
AT1G33590,0.046
AT1G33810,0.146
AT1G34000,0.173
AT1G34030,0.105
AT1G34430,0.064
AT1G35160,0.108
AT1G35680,-0.011
AT1G35720,0.209
AT1G36160,0.093
AT1G36390,0.04
AT1G42960,0.694
AT1G42970,0.073
AT1G43670,0.132
AT1G44575,0.06
AT1G47128,0.227
AT1G47260,0.072
AT1G47420,0.231
AT1G48030,0.07
AT1G48350,0.003
AT1G48420,0.14
AT1G48480,0.115
AT1G48600,0.158
AT1G49240,0.127
AT1G49600,0.139
AT1G49750,0.189
AT1G49760,0.045
AT1G49970,0.178
AT1G50030,0.122
AT1G50140,0.056
AT1G50170,0.097
AT1G50200,0.168
AT1G50250,0.217
AT1G50450,0.082
AT1G50480,0.149
AT1G50900,0.171
AT1G51100,0.085
AT1G51110,0.205
AT1G51980,0.072
AT1G52230,0.075
AT1G52510,0.132
AT1G53240,0.061
AT1G53280,0.207
AT1G54040,0.125
AT1G54220,0.156
AT1G54290,0.553
AT1G54410,0.182
AT1G54580,0.115
AT1G54630,0.115
AT1G54780,0.142
AT1G55060,0.3
AT1G55210,0.106
AT1G55480,0.093
AT1G55490,0.013
AT1G55670,0.103
AT1G56050,0.046
AT1G56070,0.112
AT1G56180,0.14
AT1G56190,0.073
AT1G56330,0.205
AT1G56450,0.09
AT1G56500,0.152
AT1G57720,0.07
AT1G57800,0.093
AT1G58080,0.269
AT1G59610,0.189
AT1G59900,0.071
AT1G60000,0.084
AT1G60950,0.13
AT1G61520,0.097
AT1G62150,0.311
AT1G62750,0.178
AT1G62780,0.243
AT1G63000,0.231
AT1G63730,0.055
AT1G63940,0.096
AT1G63970,0.16
AT1G64510,0.013
AT1G64770,0.097
AT1G64790,0.187
AT1G65260,0.145
AT1G65290,0.054
AT1G65350,0.3
AT1G65930,0.135
AT1G65980,0.13
AT1G66240,0.185
AT1G66430,0.424
AT1G66670,0.51
AT1G66820,0.111
AT1G66970,0.249
AT1G67090,0.039
AT1G67120,0.134
AT1G67280,0.103
AT1G67350,0.055
AT1G67700,0.224
AT1G68010,0.154
AT1G68560,0.069
AT1G68590,0.026
AT1G68830,0.072
AT1G69740,0.051
AT1G69830,0.146
AT1G70410,0.123
AT1G70490,0.187
AT1G70730,0.135
AT1G70820,0.154
AT1G70890,0.214
AT1G71050,0.1
AT1G71260,0.32
AT1G71280,0.116
AT1G71370,0.116
AT1G71480,0.097
AT1G71500,0.12
AT1G71695,0.076
AT1G71920,0.121
AT1G72150,0.296
AT1G72170,0.06
AT1G72370,0.025
AT1G72610,0.036
AT1G72930,0.841
AT1G73060,0.175
AT1G73110,0.458
AT1G73230,0.085
AT1G73820,0.063
AT1G74070,0.035
AT1G74090,0.251
AT1G74230,0.139
AT1G74260,0.091
AT1G74470,0.296
AT1G74730,0.092
AT1G74880,0.132
AT1G74920,0.182
AT1G74960,0.059
AT1G74970,0.094
AT1G75270,0.204
AT1G75280,0.241
AT1G75330,0.078
AT1G75350,0.079
AT1G76030,0.112
AT1G76080,0.214
AT1G76100,0.067
AT1G76140,0.082
AT1G76450,0.091
AT1G77090,0.099
AT1G77490,0.186
AT1G77510,0.129
AT1G78060,0.122
AT1G78300,0.122
AT1G78370,0.167
AT1G78380,0.12
AT1G78630,0.07
AT1G78820,0.104
AT1G78830,0.096
AT1G78900,0.102
AT1G79040,0.217
AT1G79230,0.109
AT1G79340,0.288
AT1G79440,0.096
AT1G79550,0.098
AT1G79850,0.03
AT1G79870,0.176
AT1G79920,0.493
AT1G79930,1.878
AT1G80230,0.105
AT1G80380,0.081
AT1G80480,0.215
AT1G80600,0.104
AT2G01140,0.224
AT2G01250,0.028
AT2G02500,0.071
AT2G03390,0.015
AT2G03440,0.179
AT2G04030,0.08
AT2G04039,0.207
AT2G04390,0.047
AT2G04400,0.114
AT2G04700,0.119
AT2G04780,0.189
AT2G04842,0.127
AT2G05070,0.105
AT2G05100,0.105
AT2G05220,0.047
AT2G05620,0.099
AT2G05710,0.181
AT2G05830,0.133
AT2G05990,0.031
AT2G07698,0.05
AT2G10940,0.062
AT2G13360,0.134
AT2G13560,0.114
AT2G14170,0.09
AT2G14260,0.318
AT2G15620,0.143
AT2G16440,0.113
AT2G16600,0.157
AT2G17265,0.119
AT2G17340,0.148
AT2G17360,-0.015
AT2G17390,0.14
AT2G17420,0.17
AT2G17695,0.141
AT2G18040,0.223
AT2G18230,0.146
AT2G18960,0.225
AT2G19760,0.134
AT2G19940,0.085
AT2G20140,0.116
AT2G20260,0.073
AT2G20270,0.076
AT2G20360,0.123
AT2G20420,0.169
AT2G20630,0.285
AT2G20690,0.069
AT2G20710,0.137
AT2G20890,0.073
AT2G21170,0.069
AT2G21330,0.151
AT2G21530,0.096
AT2G21620,0.219
AT2G21660,0.385
AT2G21870,0.051
AT2G22170,0.075
AT2G22230,0.01
AT2G23350,0.102
AT2G23600,0.165
AT2G23670,0.055
AT2G23740,0.079
AT2G24020,0.06
AT2G24030,0.009
AT2G24200,0.126
AT2G24270,0.098
AT2G24700,0.096
AT2G24820,0.249
AT2G24940,0.221
AT2G25080,0.138
AT2G25840,0.077
AT2G26080,0.178
AT2G26340,0.096
AT2G26930,0.073
AT2G27020,0.136
AT2G27680,0.134
AT2G27720,0.041
AT2G27730,0.094
AT2G27860,0.379
AT2G28000,0.01
AT2G28190,0.065
AT2G28470,0.063
AT2G28605,0.049
AT2G28900,0.084
AT2G29290,0.109
AT2G29450,0.132
AT2G29630,0.89
AT2G29960,0.2
AT2G30110,0.202
AT2G30695,0.274
AT2G30860,0.188
AT2G30870,0.18
AT2G30930,0.154
AT2G30950,0.258
AT2G30970,0.064
AT2G31240,0.067
AT2G31270,0.058
AT2G31570,0.378
AT2G31670,0.318
AT2G32060,0.003
AT2G32080,0.164
AT2G32520,0.107
AT2G33040,0.077
AT2G33150,0.219
AT2G33210,0.02
AT2G33255,0.129
AT2G33370,0.02
AT2G33530,0.046
AT2G33800,0.034
AT2G33830,0.61
AT2G34460,0.092
AT2G34590,0.091
AT2G35010,0.105
AT2G35040,0.031
AT2G35370,0.082
AT2G35410,0.065
AT2G35490,0.1
AT2G35635,0.3
AT2G35840,0.13
AT2G36060,0.388
AT2G36145,0.1
AT2G36170,0.3
AT2G36250,0.228
AT2G36460,0.117
AT2G36530,0.096
AT2G36880,0.286
AT2G37220,0.153
AT2G37230,0.055
AT2G37270,0.017
AT2G37500,0.026
AT2G37620,0.088
AT2G37660,0.019
AT2G38040,0.165
AT2G38230,0.22
AT2G38270,0.126
AT2G38540,0.054
AT2G39010,0.179
AT2G39080,0.094
AT2G39470,0.14
AT2G39580,0.046
AT2G39730,0.14950000000000002
AT2G39990,0.057
AT2G40060,0.078
AT2G40300,0.074
AT2G40490,0.108
AT2G40600,0.234
AT2G40765,0.125
AT2G40840,0.152
AT2G41530,0.124
AT2G41600,0.323
AT2G41680,0.094
AT2G41700,0.104
AT2G42210,0.057
AT2G42220,0.046
AT2G42600,0.2
AT2G42730,0.048
AT2G42740,-0.0215
AT2G43030,0.08
AT2G43100,0.639
AT2G43560,0.042
AT2G43710,0.312
AT2G43750,0.064
AT2G43910,0.175
AT2G43945,0.068
AT2G43950,0.042
AT2G44050,0.022
AT2G44060,0.171
AT2G44160,0.07
AT2G44310,0.134
AT2G44350,0.128
AT2G44650,-0.004
AT2G44920,0.081
AT2G45470,0.093
AT2G45790,0.14
AT2G45960,0.093
AT2G45970,0.05
AT2G46820,0.139
AT2G47110,0.3
AT2G47170,0.187
AT2G47390,0.146
AT2G47400,0.129
AT2G47710,0.192
AT2G47730,0.139
AT2G47910,0.109
AT2G47940,0.047
AT3G01280,0.053
AT3G01390,0.111
AT3G01440,0.082
AT3G01480,0.05
AT3G01520,0.218
AT3G01810,0.08
AT3G01910,0.179
AT3G02090,0.137
AT3G02110,0.734
AT3G02230,0.211
AT3G02510,0.131
AT3G02530,0.081
AT3G02730,0.213
AT3G02760,0.507
AT3G02770,0.189
AT3G02780,0.126
AT3G02870,0.309
AT3G03250,0.15
AT3G03780,0.221
AT3G03960,0.12
AT3G04120,0.076
AT3G04400,0.02
AT3G04550,0.302
AT3G04790,0.048
AT3G04870,0.324
AT3G05350,0.112
AT3G05440,0.032
AT3G05480,0.002
AT3G06050,0.097
AT3G06310,0.205
AT3G06350,0.208
AT3G06610,0.075
AT3G07390,0.12
AT3G07480,0.052
AT3G07720,0.114
AT3G08030,0.089
AT3G08580,0.047
AT3G08590,0.184
AT3G08740,0.056
AT3G08940,0.095
AT3G09440,0.308
AT3G09790,0.3
AT3G10060,0.13
AT3G10090,0.017
AT3G10370,0.208
AT3G10520,0.172
AT3G10610,0.047
AT3G10670,0.103
AT3G10860,0.061
AT3G10920,0.1
AT3G11400,0.091
AT3G11540,0.082
AT3G11630,0.032
AT3G11710,0.297
AT3G11750,0.161
AT3G11780,0.187
AT3G11940,0.017
AT3G11964,0.041
AT3G12260,0.189
AT3G12290,0.139
AT3G12490,0.169
AT3G12780,0.085
AT3G13120,0.014
AT3G13470,0.006
AT3G13490,0.212
AT3G13860,0.172
AT3G13890,0.16
AT3G13930,0.076
AT3G14067,0.219
AT3G14210,0.075
AT3G14290,0.111
AT3G14310,0.117
AT3G14510,0.064
AT3G14530,0.064
AT3G14550,0.064
AT3G14790,0.376
AT3G14930,0.039
AT3G15190,0.012
AT3G15360,0.129
AT3G15520,0.13
AT3G15660,0.145
AT3G15700,0.07
AT3G15730,0.143
AT3G15840,0.867
AT3G16000,0.117
AT3G16140,0.075
AT3G16470,0.225
AT3G16640,0.104
AT3G16850,0.151
AT3G16910,0.101
AT3G17020,0.221
AT3G17210,0.087
AT3G17390,0.156
AT3G17810,0.196
AT3G18490,0.287
AT3G18680,0.063
AT3G18780,0.127
AT3G18890,0.104
AT3G19050,0.06
AT3G19170,0.149
AT3G19450,0.138
AT3G19480,0.063
AT3G19710,1.147
AT3G20050,0.769
AT3G20250,0.164
AT3G20390,0.063
AT3G20820,0.211
AT3G22110,0.086
AT3G22200,1.089
AT3G22480,0.127
AT3G22630,0.072
AT3G22890,0.368
AT3G22960,0.174
AT3G23400,0.117
AT3G23490,0.125
AT3G23570,0.246
AT3G23600,0.189
AT3G23700,0.141
AT3G23940,-0.006
AT3G23990,0.038
AT3G24170,0.183
AT3G24430,0.185
AT3G24503,0.489
AT3G25220,0.342
AT3G25530,0.095
AT3G25660,0.131
AT3G25760,0.238
AT3G25770,0.257
AT3G25800,0.277
AT3G25860,0.195
AT3G26070,0.122
AT3G26450,0.148
AT3G26460,0.148
AT3G26490,0.089
AT3G26520,0.043
AT3G26650,0.051
AT3G27160,0.11
AT3G27690,0.105
AT3G27830,0.01
AT3G27850,0.01
AT3G27890,0.203
AT3G27925,0.144
AT3G28270,0.169
AT3G28940,0.232
AT3G29185,0.148
AT3G29320,0.106
AT3G42050,0.199
AT3G43270,0.072
AT3G44100,0.148
AT3G44310,0.152
AT3G44620,0.153
AT3G44890,0.022
AT3G45030,0.043
AT3G45140,0.18
AT3G46740,0.056
AT3G46780,0.099
AT3G46830,0.049
AT3G46970,0.196
AT3G47070,0.118
AT3G47470,0.074
AT3G47520,0.025
AT3G47660,0.104
AT3G47800,0.084
AT3G47810,0.22
AT3G47860,0.082
AT3G48000,0.188
AT3G48110,0.053
AT3G48170,0.23
AT3G48190,0.124
AT3G48420,0.069
AT3G48560,0.69
AT3G48730,0.049
AT3G48990,0.192
AT3G49120,0.166
AT3G49680,0.19
AT3G50380,0.077
AT3G50820,0.088
AT3G52150,0.085
AT3G52180,0.196
AT3G52300,0.064
AT3G52380,0.236
AT3G52500,0.156
AT3G52560,0.351
AT3G52590,0.3
AT3G52750,0.188
AT3G52880,0.121
AT3G52930,0.105
AT3G52960,0.017
AT3G53110,0.124
AT3G53420,0.158
AT3G53430,0.048
AT3G53460,0.262
AT3G53520,0.07
AT3G53580,0.082
AT3G53680,0.13
AT3G53750,0.088
AT3G53990,0.192
AT3G54050,0.083
AT3G54110,0.116
AT3G54280,0.005
AT3G54400,0.004
AT3G54600,0.174
AT3G54640,0.45
AT3G54660,0.16
AT3G54890,0.054
AT3G54900,0.161
AT3G55010,0.08
AT3G55040,0.145
AT3G55100,0.1
AT3G55250,0.133
AT3G55330,0.046
AT3G55410,0.117
AT3G55440,0.114
AT3G55800,0.085
AT3G56060,0.078
AT3G56070,0.023
AT3G56090,0.1
AT3G56240,0.381
AT3G56490,0.106
AT3G56650,0.089
AT3G57560,0.035
AT3G57610,0.247
AT3G57890,0.017
AT3G58010,0.135
AT3G58140,0.11
AT3G58610,0.069
AT3G58700,-0.0215
AT3G58730,0.135
AT3G59780,0.1
AT3G59870,0.142
AT3G59970,0.086
AT3G60190,0.165
AT3G60750,0.071
AT3G60810,0.185
AT3G60820,0.092
AT3G61040,0.215
AT3G61220,0.205
AT3G61260,0.238
AT3G61440,0.118
AT3G61470,0.086
AT3G62030,0.056
AT3G62120,0.089
AT3G62250,0.3
AT3G62290,0.187
AT3G62410,0.19
AT3G62530,0.335
AT3G62560,0.205
AT3G63140,0.068
AT3G63160,0.095
AT3G63170,0.561
AT3G63190,0.032
AT3G63410,0.085
AT3G63490,0.048
AT3G63520,0.12
AT3G63540,0.093
AT4G00165,0.093
AT4G00570,0.115
AT4G00620,0.119
AT4G00810,0.086
AT4G00860,0.151
AT4G01050,0.071
AT4G01150,0.087
AT4G01310,-0.004
AT4G01460,0.123
AT4G01850,0.161
AT4G01883,0.11
AT4G01900,0.031
AT4G02080,0.205
AT4G02520,0.23
AT4G02530,0.063
AT4G02580,0.116
AT4G02620,0.152
AT4G02770,0.07
AT4G02890,0.3
AT4G02930,0.009
AT4G03260,0.29
AT4G03280,0.12
AT4G03520,0.103
AT4G04020,0.251
AT4G04040,0.128
AT4G04640,0.11
AT4G04770,0.489
AT4G05050,0.3
AT4G05090,0.097
AT4G05180,0.095
AT4G05320,0.3
AT4G08390,0.059
AT4G09000,0.142
AT4G09010,0.045
AT4G09020,0.141
AT4G09040,0.146
AT4G09320,0.051
AT4G09650,0.102
AT4G09670,0.111
AT4G09800,0.105
AT4G10300,0.136
AT4G10340,0.069
AT4G11010,0.056
AT4G11150,0.1
AT4G11600,0.24
AT4G12060,0.065
AT4G12800,0.074
AT4G13010,0.266
AT4G13200,0.145
AT4G13430,0.292
AT4G13930,0.096
AT4G14030,0.76
AT4G14040,0.46
AT4G14800,0.111
AT4G14880,0.139
AT4G14890,0.256
AT4G15510,0.053
AT4G15530,0.271
AT4G15545,0.729
AT4G16143,0.198
AT4G16155,0.176
AT4G16390,0.096
AT4G16450,0.116
AT4G17040,0.069
AT4G17090,1.622
AT4G17170,0.096
AT4G17300,0.087
AT4G17560,0.07
AT4G17830,0.245
AT4G18370,0.078
AT4G18440,0.077
AT4G18480,0.171
AT4G18600,0.091
AT4G18730,-0.0215
AT4G18810,0.144
AT4G19170,0.579
AT4G19520,0.082
AT4G19830,0.175
AT4G20260,0.11
AT4G20360,0.079
AT4G20440,0.064
AT4G20760,0.13
AT4G20830,0.101
AT4G20850,0.162
AT4G21280,0.058
AT4G21445,0.055
AT4G21860,0.182
AT4G22240,0.48
AT4G22890,0.223
AT4G23170,0.333
AT4G23670,0.111
AT4G23850,0.222
AT4G23890,0.193
AT4G24190,0.133
AT4G24280,0.069
AT4G24620,0.1
AT4G24770,0.041
AT4G24800,0.148
AT4G24930,0.059
AT4G25050,0.028
AT4G25080,0.169
AT4G25130,0.17
AT4G25370,0.102
AT4G25900,0.151
AT4G26500,0.121
AT4G26530,0.111
AT4G26555,0.101
AT4G26690,0.133
AT4G26900,0.067
AT4G26970,0.134
AT4G27090,0.024
AT4G27130,0.553
AT4G27440,0.302
AT4G27520,0.086
AT4G27700,0.084
AT4G28060,0.11
AT4G28440,0.248
AT4G28660,0.074
AT4G28730,0.184
AT4G28750,0.095
AT4G29010,0.343
AT4G29040,0.116
AT4G29060,0.081
AT4G29350,0.182
AT4G29440,0.145
AT4G29670,0.19
AT4G29840,0.291
AT4G30010,0.116
AT4G30530,0.558
AT4G30810,0.111
AT4G30920,0.129
AT4G31180,-0.003
AT4G31300,0.084
AT4G31460,0.104
AT4G31530,0.115
AT4G31990,0.104
AT4G32260,0.089
AT4G32590,0.177
AT4G33010,0.205
AT4G33030,0.092
AT4G33090,0.119
AT4G33220,0.072
AT4G33390,0.067
AT4G33470,0.071
AT4G33500,0.152
AT4G33680,0.055
AT4G33760,0.158
AT4G34050,0.379
AT4G34110,0.112
AT4G34120,0.112
AT4G34200,0.005
AT4G34450,0.103
AT4G34490,0.085
AT4G34620,0.057
AT4G34870,0.1
AT4G35000,0.287
AT4G35100,0.04
AT4G35160,0.105
AT4G35240,0.074
AT4G35250,0.075
AT4G35260,0.133
AT4G35450,0.209
AT4G35830,0.215
AT4G36390,0.136
AT4G36760,0.107
AT4G36940,0.136
AT4G37000,0.133
AT4G37300,0.163
AT4G37800,0.196
AT4G37870,0.136
AT4G37910,0.194
AT4G37925,0.204
AT4G37930,0.21
AT4G37980,0.189
AT4G38220,0.149
AT4G38460,0.182
AT4G38680,0.059
AT4G38740,0.138
AT4G38800,0.195
AT4G38810,0.293
AT4G38970,0.093
AT4G39260,0.129
AT4G39650,0.091
AT4G39710,0.06
AT4G39730,0.12
AT4G39756,0.078
AT4G39970,0.074
AT5G01410,0.244
AT5G01530,0.072
AT5G01600,0.243
AT5G01650,0.07
AT5G01720,0.229
AT5G01750,0.464
AT5G02160,0.056
AT5G02240,0.148
AT5G02790,0.383
AT5G03240,0.3
AT5G03290,0.115
AT5G03300,0.142
AT5G03350,0.107
AT5G03455,0.318
AT5G03630,0.209
AT5G03730,0.025
AT5G03850,0.017
AT5G03880,0.161
AT5G03940,0.06
AT5G04050,0.057
AT5G04140,0.091
AT5G04430,0.098
AT5G04590,0.198
AT5G04740,0.102
AT5G04800,0.047
AT5G05370,0.061
AT5G06060,0.122
AT5G06290,0.038
AT5G07020,0.107
AT5G07090,-0.015
AT5G07350,0.112
AT5G08050,0.124
AT5G08060,0.179
AT5G08260,0.094
AT5G08280,0.042
AT5G08300,0.137
AT5G08380,0.108
AT5G08410,0.097
AT5G08670,0.053
AT5G08680,0.053
AT5G08690,0.053
AT5G09590,0.101
AT5G09650,0.049
AT5G09660,0.181
AT5G09810,0.114
AT5G10160,-0.001
AT5G10330,0.121
AT5G10450,0.162
AT5G10470,0.218
AT5G10540,0.166
AT5G10560,0.063
AT5G10860,0.223
AT5G10920,0.057
AT5G11170,0.255
AT5G11200,0.255
AT5G11420,0.099
AT5G11450,0.08
AT5G11520,0.175
AT5G11670,0.231
AT5G11770,0.071
AT5G11880,0.065
AT5G11950,0.154
AT5G12140,0.128
AT5G12470,0.155
AT5G13030,0.16
AT5G13120,0.252
AT5G13410,0.15
AT5G13420,0.184
AT5G13450,0.059
AT5G13510,0.035
AT5G13630,0.162
AT5G13650,0.438
AT5G14040,0.044
AT5G14260,0.073
AT5G14320,0.14
AT5G14590,0.1
AT5G14660,0.12
AT5G14670,0.187
AT5G14680,0.218
AT5G14740,0.088
AT5G14780,0.16
AT5G14910,0.067
AT5G15090,0.045
AT5G15300,0.342
AT5G15450,0.217
AT5G15650,0.211
AT5G15680,0.043
AT5G15910,0.103
AT5G16040,0.131
AT5G16390,0.078
AT5G16400,0.22
AT5G16620,0.115
AT5G16660,0.294
AT5G16710,0.047
AT5G16750,0.095
AT5G16840,0.097
AT5G16970,0.136
AT5G16990,0.229
AT5G17170,0.129
AT5G17380,0.19
AT5G17530,0.298
AT5G17710,0.039
AT5G17920,0.105
AT5G18100,0.198
AT5G18660,0.152
AT5G18800,0.205
AT5G19140,1.047
AT5G19220,0.094
AT5G19240,0.125
