AGI,Fan2024_root_100kg_diff_log2k,Fan2024_root_100kg_k_fold_change,Fan2024_root_100kg_ctrl_log2k_mean,Fan2024_root_100kg_temp30_log2k_mean,Fan2024_root_1500g_diff_log2k,Fan2024_root_1500g_k_fold_change,Fan2024_root_1500g_ctrl_log2k_mean,Fan2024_root_1500g_temp30_log2k_mean,Fan2024_root_soluble_diff_log2k,Fan2024_root_soluble_k_fold_change,Fan2024_root_soluble_ctrl_log2k_mean,Fan2024_root_soluble_temp30_log2k_mean,Fan2024_shoot_100kg_diff_log2k,Fan2024_shoot_100kg_k_fold_change,Fan2024_shoot_100kg_ctrl_log2k_mean,Fan2024_shoot_100kg_temp30_log2k_mean,Fan2024_shoot_1500g_diff_log2k,Fan2024_shoot_1500g_k_fold_change,Fan2024_shoot_1500g_ctrl_log2k_mean,Fan2024_shoot_1500g_temp30_log2k_mean,Fan2024_shoot_soluble_diff_log2k,Fan2024_shoot_soluble_k_fold_change,Fan2024_shoot_soluble_ctrl_log2k_mean,Fan2024_shoot_soluble_temp30_log2k_mean
AT1G01620,0.422,1.339783602427841,-5.731,-5.328,,,,,,,,,,,,,,,,,,,,
AT1G02500,,,,,,,,,,,,,,,,,,,,,0.383,1.3040507352585602,-5.444,-5.061
AT1G03680,,,,,,,,,,,,,,,,,,,,,0.492,1.4063931999131192,-5.975,-5.471
AT1G04410,,,,,0.292,1.2243363924002044,-5.604,-5.382,,,,,0.531,1.4449303979235255,-6.275,-5.744,,,,,0.304,1.2345626068935383,-5.934,-5.713
AT1G06680,,,,,,,,,,,,,0.272,1.2074805914864963,-6.427,-6.155,0.455,1.3707828049797035,-6.228,-5.798,0.503,1.4171573965082165,-6.234,-5.718
AT1G06950,,,,,,,,,,,,,0.529,1.4429286868616282,-6.224,-5.605,,,,,,,,
AT1G07660,,,,,0.103,1.0740044716201242,-5.983,-5.88,,,,,,,,,,,,,,,,
AT1G07820,,,,,0.103,1.0740044716201242,-5.983,-5.88,,,,,,,,,,,,,,,,
AT1G07890,0.564,1.478362431273842,-5.675,-5.111,0.352,1.2763287688289529,-5.509,-5.157,0.296,1.2277356839150604,-5.202,-4.906,0.807,1.7495695298116436,-5.823,-5.033,,,,,0.555,1.469168633278309,-5.474,-4.919
AT1G07940,0.256,1.1941631870745895,-5.107,-4.887,,,,,,,,,,,,,0.377,1.2986386027298837,-5.683,-5.335,0.336,1.2622520321121156,-5.629,-5.276
AT1G08480,,,,,0.369,1.291457350302335,-5.766,-5.398,,,,,,,,,,,,,,,,
AT1G09310,,,,,,,,,,,,,,,,,,,,,0.55,1.4640856959456254,-4.702,-4.152
AT1G09340,,,,,,,,,,,,,,,,,,,,,0.204,1.1518876423493576,-6.436,-6.321
AT1G09620,,,,,,,,,,,,,,,,,,,,,0.511,1.4250376141487842,-5.382,-4.871
AT1G09750,,,,,,,,,,,,,,,,,,,,,0.528,1.4419288714602247,-6.071,-5.578
AT1G10630,0.51,1.4240501955970717,-5.259,-4.593,,,,,0.388,1.3085780714550102,-4.916,-4.529,0.617,1.5336826596730921,-5.472,-4.854,,,,,,,,
AT1G10950,0.392,1.3122112545919609,-5.084,-4.693,,,,,,,,,,,,,,,,,,,,
AT1G11840,,,,,,,,,,,,,,,,,,,,,0.642,1.5604909603474069,-5.861,-5.119
AT1G11860,,,,,,,,,,,,,0.401,1.320422841015,-6.552,-6.15,,,,,,,,
AT1G11910,0.359,1.282536602762248,-5.459,-5.101,0.155,1.1134216182286862,-5.727,-5.572,,,,,,,,,,,,,0.674,1.595490479618066,-4.718,-4.044
AT1G12840,0.298,1.2294388672545806,-5.797,-5.499,0.336,1.2622520321121156,-5.58,-5.245,,,,,0.373,1.295042998854425,-5.705,-5.331,,,,,,,,
AT1G13440,,,,,,,,,,,,,0.201,1.149494848034677,-5.908,-5.706,0.191,1.1415547071267738,-6.016,-5.79,,,,
AT1G13930,,,,,,,,,,,,,,,,,,,,,-0.303,0.8105651198853091,-5.594,-5.897
AT1G14320,,,,,0.219,1.1639265344021366,-5.036,-4.817,,,,,0.252,1.1908568493649683,-5.644,-5.392,,,,,,,,
AT1G15690,,,,,,,,,,,,,0.342,1.2675125220344245,-5.833,-5.491,,,,,,,,
AT1G15820,,,,,,,,,,,,,0.678,1.599920256665505,-6.176,-5.498,0.586,1.501079097514371,-6.241,-5.642,,,,
AT1G18080,,,,,,,,,,,,,,,,,,,,,0.45,1.3660402567543954,-5.831,-5.381
AT1G20010,,,,,,,,,,,,,0.357,1.2807598613297704,-6.243,-5.887,,,,,0.368,1.290562490451779,-6.085,-5.716
AT1G20260,0.477,1.3918463918311013,-6.099,-5.622,0.314,1.2431496689039396,-5.809,-5.539,,,,,0.497,1.4112758434086925,-6.032,-5.594,,,,,,,,
AT1G20440,0.386,1.3067652538931733,-5.541,-5.155,,,,,,,,,,,,,,,,,0.737,1.666706414318437,-5.727,-4.991
AT1G20620,,,,,,,,,,,,,,,,,,,,,0.49,1.4044448757379973,-4.479,-3.922
AT1G21750,,,,,,,,,0.337,1.2631272618457992,-5.084,-4.747,,,,,,,,,0.398,1.31767995173414,-5.293,-4.895
AT1G22300,,,,,,,,,0.54,1.4539725173203106,-5.322,-4.782,,,,,,,,,,,,
AT1G22530,0.508,1.4220774105872747,-5.954,-5.471,,,,,,,,,,,,,,,,,,,,
AT1G22780,0.173,1.1274004121454215,-5.068,-4.938,,,,,,,,,,,,,,,,,,,,
AT1G23310,,,,,,,,,,,,,,,,,,,,,0.798,1.7386891201800434,-5.433,-4.636
AT1G23490,0.51,1.4240501955970717,-5.259,-4.593,,,,,0.388,1.3085780714550102,-4.916,-4.529,0.617,1.5336826596730921,-5.472,-4.854,,,,,,,,
AT1G23740,,,,,,,,,,,,,,,,,,,,,1.302,2.4657046509276133,-6.383,-5.082
AT1G24020,,,,,,,,,,,,,,,,,,,,,0.823,1.7690808706630812,-5.472,-4.649
AT1G26630,,,,,,,,,,,,,,,,,,,,,0.678,1.599920256665505,-5.003,-4.386
AT1G26910,,,,,0.219,1.1639265344021366,-5.036,-4.817,,,,,,,,,,,,,,,,
AT1G29930,,,,,,,,,,,,,,,,,0.413,1.331451613236371,-6.29,-5.863,,,,
AT1G30360,,,,,,,,,,,,,0.553,1.4671333441673235,-6.73,-6.161,,,,,,,,
AT1G30580,0.416,1.334223169677769,-5.059,-4.643,0.421,1.338855256978442,-5.275,-4.854,,,,,,,,,,,,,,,,
AT1G30690,0.38,1.3013418554419336,-6.49,-6.11,,,,,,,,,,,,,,,,,,,,
AT1G31330,,,,,,,,,,,,,0.299,1.2302913447511443,-6.171,-5.873,0.325,1.252664438624128,-6.318,-5.979,,,,
AT1G32060,,,,,,,,,,,,,,,,,,,,,0.39,1.3103934038583633,-6.316,-5.926
AT1G32080,,,,,,,,,,,,,-0.402,0.7568083964847896,-6.404,-6.806,,,,,,,,
AT1G32470,,,,,,,,,,,,,0.399,1.3185936144923665,-6.342,-5.943,,,,,0.293,1.225185331904676,-6.28,-5.987
AT1G32900,,,,,,,,,,,,,,,,,-0.312,0.8055242910487502,-5.952,-6.222,,,,
AT1G34030,0.173,1.1274004121454215,-5.068,-4.938,,,,,,,,,,,,,,,,,,,,
AT1G42970,,,,,,,,,,,,,0.518,1.4319687412011435,-6.861,-6.207,0.309,1.2388486977839088,-6.716,-6.278,0.2,1.148698354997035,-6.552,-6.339
AT1G43170,0.149,1.1088006436030693,-5.261,-5.008,,,,,,,,,,,,,,,,,,,,
AT1G44575,,,,,,,,,,,,,0.545,1.4590203442401755,-6.239,-5.697,0.424,1.3416422248822613,-6.224,-5.8,,,,
AT1G47128,0.196,1.145517897979757,-6.17,-5.974,,,,,,,,,,,,,,,,,,,,
AT1G49240,0.244,1.1842716118536327,-5.49,-5.246,,,,,,,,,,,,,,,,,,,,
AT1G50010,,,,,,,,,,,,,0.645,1.563739286257187,-5.968,-5.323,,,,,,,,
AT1G51470,,,,,0.379,1.3004401465484803,-7.42,-7.041,,,,,,,,,,,,,,,,
AT1G51980,0.331,1.2578849718360179,-5.635,-5.304,,,,,,,,,,,,,,,,,,,,
AT1G52200,0.385,1.3058597870889177,-5.637,-5.252,,,,,,,,,,,,,,,,,,,,
