UniProtKB-AC,SUPERFAMILY_Ndomains,SUPERFAMILY_domains,Gene3D_Ndomains,Gene3D_domains,PANTHER_Ndomains,PANTHER_domains,Pfam_Ndomains,Pfam_domains,PROSITE_PROFILE_Ndomains,PROSITE_PROFILE_domains,PROSITE_PATTERN_Ndomains,PROSITE_PATTERN_domains,SMART_Ndomains,SMART_domains,TIGRFAM_Ndomains,TIGRFAM_domains
A0A178W0K0,1.0,{'1': '83-293'},2.0,"{'1': '72-208', '2': '209-304'}",1.0,{'1': '76-294'},,,,,,,,,,
A0A1P8B2U5,1.0,{'1': '110-183'},1.0,{'1': '103-209'},1.0,{'1': '45-352'},1.0,{'1': '115-180'},2.0,"{'1': '139-154', '2': '155-175'}",1.0,{'1': '115-183'},1.0,{'1': '114-175'},,
A0A1P8B4A5,1.0,{'1': '47-311'},,,1.0,{'1': '40-709'},1.0,{'1': '49-309'},,,2.0,"{'1': '49-310', '2': '55-78'}",1.0,{'1': '49-310'},,
A0A1P8BA53,,,2.0,"{'1': '78-219', '2': '220-365'}",,,2.0,"{'1': '82-210', '2': '233-358'}",,,2.0,"{'1': '78-210', '2': '230-358'}",2.0,"{'1': '83-191', '2': '232-339'}",,
A1A6M1,2.0,"{'1': '176-243', '2': '324-385'}",1.0,{'1': '170-244'},,,1.0,{'1': '184-242'},,,,,,,,
A2RVM0,1.0,{'1': '29-292'},,,1.0,{'1': '1-309'},1.0,{'1': '31-179'},4.0,"{'1': '31-48', '2': '107-118', '3': '157-173', '4': '221-238'}",,,,,,
A2RVS6,1.0,{'1': '6-188'},2.0,"{'1': '2-117', '2': '122-199'}",1.0,{'1': '5-287'},2.0,"{'1': '9-76', '2': '124-186'}",,,2.0,"{'1': '7-82', '2': '122-200'}",2.0,"{'1': '8-78', '2': '123-196'}",,
A3KPF2,1.0,{'1': '154-465'},1.0,{'1': '130-291'},1.0,{'1': '66-467'},2.0,"{'1': '309-449', '2': '9-116'}",,,1.0,{'1': '144-459'},,,,
A4GSN8,,,,,,,3.0,"{'1': '1045-1171', '2': '171-250', '3': '491-596'}",,,,,,,,
A6QRA1,2.0,"{'1': '84-174', '2': '1-81'}",2.0,"{'1': '85-175', '2': '1-84'}",1.0,{'1': '1-163'},1.0,{'1': '9-68'},,,,,,,,
A8MR31,,,1.0,{'1': '148-239'},1.0,{'1': '28-238'},1.0,{'1': '172-224'},,,,,,,,
A8MR65,,,,,1.0,{'1': '11-201'},,,,,,,,,,
A8MS68,2.0,"{'1': '436-552', '2': '79-427'}",3.0,"{'1': '436-562', '2': '88-419', '3': '229-356'}",1.0,{'1': '84-554'},2.0,"{'1': '437-548', '2': '87-418'}",,,1.0,{'1': '121-131'},,,1.0,{'1': '87-554'}
A8MS85,6.0,"{'1': '887-976', '2': '989-1077', '3': '716-871', '4': '1098-1178', '5': '1228-1314', '6': '1360-1411'}",7.0,"{'1': '1096-1185', '2': '281-471', '3': '472-909', '4': '1211-1322', '5': '1323-1420', '6': '706-1095', '7': '984-1076'}",1.0,{'1': '10-1460'},7.0,"{'1': '31-118', '2': '715-871', '3': '875-975', '4': '1192-1409', '5': '990-1075', '6': '1089-1174', '7': '510-681'}",,,1.0,{'1': '1103-1174'},2.0,"{'1': '1101-1174', '2': '716-834'}",,
A8R7E6,1.0,{'1': '303-590'},,,1.0,{'1': '12-606'},3.0,"{'1': '325-589', '2': '101-149', '3': '168-211'}",,,4.0,"{'1': '322-594', '2': '437-449', '3': '328-350', '4': '168-211'}",1.0,{'1': '322-594'},,
A9LLI7,2.0,"{'1': '461-555', '2': '195-459'}",2.0,"{'1': '188-467', '2': '468-559'}",1.0,{'1': '29-868'},2.0,"{'1': '482-549', '2': '262-428'}",,,1.0,{'1': '479-559'},2.0,"{'1': '479-559', '2': '260-429'}",,
A9LNK9,1.0,{'1': '62-85'},,,1.0,{'1': '31-626'},1.0,{'1': '237-371'},,,3.0,"{'1': '60-87', '2': '114-141', '3': '237-372'}",3.0,"{'1': '60-86', '2': '88-114', '3': '116-140'}",,
A9QM73,1.0,{'1': '29-587'},1.0,{'1': '21-262'},1.0,{'1': '10-1014'},2.0,"{'1': '203-531', '2': '68-190'}",,,,,,,,
B3H5K9,1.0,{'1': '12-325'},2.0,"{'1': '6-182', '2': '183-347'}",1.0,{'1': '4-781'},2.0,"{'1': '44-70', '2': '141-321'}",,,1.0,{'1': '193-216'},6.0,"{'1': '31-71', '2': '73-121', '3': '124-163', '4': '166-207', '5': '211-251', '6': '253-292'}",,
B3LF48,2.0,"{'1': '15-90', '2': '192-467'}",1.0,{'1': '200-428'},,,4.0,"{'1': '17-90', '2': '163-195', '3': '435-536', '4': '200-360'}",,,4.0,"{'1': '16-94', '2': '15-50', '3': '52-84', '4': '194-430'}",3.0,"{'1': '9-104', '2': '19-47', '3': '53-81'}",,
B7U179,3.0,"{'1': '559-662', '2': '64-214', '3': '199-537'}",5.0,"{'1': '559-703', '2': '17-194', '3': '195-296', '4': '297-458', '5': '459-548'}",1.0,{'1': '29-730'},4.0,"{'1': '562-663', '2': '215-250', '3': '256-295', '4': '298-333'}",,,5.0,"{'1': '568-635', '2': '225-260', '3': '267-309', '4': '351-393', '5': '392-434'}",9.0,"{'1': '568-665', '2': '111-162', '3': '164-212', '4': '213-254', '5': '256-296', '6': '298-338', '7': '340-380', '8': '381-421', '9': '496-536'}",,
B7ZWR6,1.0,{'1': '99-224'},1.0,{'1': '89-231'},1.0,{'1': '5-281'},1.0,{'1': '180-213'},,,1.0,{'1': '180-213'},3.0,"{'1': '103-136', '2': '146-179', '3': '180-213'}",,
B9DFI7,2.0,"{'1': '129-323', '2': '443-581'}",1.0,{'1': '190-368'},1.0,{'1': '22-608'},1.0,{'1': '95-605'},,,,,,,,
B9DGT7,2.0,"{'1': '246-435', '2': '1-244'}",3.0,"{'1': '384-436', '2': '1-268', '3': '269-383'}",1.0,{'1': '2-438'},2.0,"{'1': '3-213', '2': '263-392'}",22.0,"{'1': '10-30', '2': '53-72', '3': '95-106', '4': '108-132', '5': '134-152', '6': '153-174', '7': '178-191', '8': '192-212', '9': '380-408', '10': '18-33', '11': '45-58', '12': '88-101', '13': '120-128', '14': '148-160', '15': '161-172', '16': '214-226', '17': '274-289', '18': '321-342', '19': '347-360', '20': '360-379', '21': '385-401', '22': '422-438'}",1.0,{'1': '142-148'},2.0,"{'1': '49-246', '2': '248-393'}",,
B9DHD7,1.0,{'1': '5-133'},1.0,{'1': '2-129'},1.0,{'1': '4-383'},1.0,{'1': '6-110'},,,1.0,{'1': '5-125'},,,,
B9DHQ0,2.0,"{'1': '246-435', '2': '1-244'}",3.0,"{'1': '384-436', '2': '1-268', '3': '269-383'}",1.0,{'1': '2-438'},2.0,"{'1': '3-213', '2': '263-392'}",22.0,"{'1': '10-30', '2': '53-72', '3': '95-106', '4': '108-132', '5': '134-152', '6': '153-174', '7': '178-191', '8': '192-212', '9': '380-408', '10': '18-33', '11': '45-58', '12': '88-101', '13': '120-128', '14': '148-160', '15': '161-172', '16': '214-226', '17': '274-289', '18': '321-342', '19': '347-360', '20': '360-379', '21': '385-401', '22': '422-438'}",2.0,"{'1': '1-4', '2': '142-148'}",2.0,"{'1': '49-246', '2': '248-393'}",,
C0LGD7,1.0,{'1': '610-928'},3.0,"{'1': '36-189', '2': '190-293', '3': '294-431'}",,,4.0,"{'1': '628-894', '2': '155-215', '3': '300-336', '4': '37-73'}",,,3.0,"{'1': '625-897', '2': '745-757', '3': '631-653'}",1.0,{'1': '625-897'},,
C0LGG8,1.0,{'1': '653-951'},3.0,"{'1': '41-200', '2': '201-268', '3': '269-378'}",1.0,{'1': '58-945'},7.0,"{'1': '672-939', '2': '115-136', '3': '186-208', '4': '210-232', '5': '235-256', '6': '284-342', '7': '409-592'}",,,2.0,"{'1': '669-950', '2': '791-803'}",4.0,"{'1': '669-950', '2': '113-137', '3': '184-208', '4': '305-328'}",,
C0LGG9,1.0,{'1': '651-951'},3.0,"{'1': '39-163', '2': '166-267', '3': '268-374'}",1.0,{'1': '60-943'},5.0,"{'1': '670-937', '2': '184-206', '3': '208-230', '4': '306-327', '5': '407-590'}",,,2.0,"{'1': '667-948', '2': '789-801'}",1.0,{'1': '667-936'},,
C0LGI2,1.0,{'1': '594-873'},1.0,{'1': '376-524'},,,4.0,"{'1': '608-873', '2': '462-484', '3': '486-505', '4': '29-362'}",,,3.0,"{'1': '606-880', '2': '727-739', '3': '612-634'}",1.0,{'1': '606-880'},,
C0LGL9,1.0,{'1': '290-571'},1.0,{'1': '30-215'},1.0,{'1': '73-573'},3.0,"{'1': '306-569', '2': '123-179', '3': '30-69'}",,,3.0,"{'1': '304-576', '2': '423-435', '3': '310-336'}",3.0,"{'1': '304-576', '2': '96-120', '3': '144-168'}",,
C0LGN2,1.0,{'1': '654-956'},2.0,"{'1': '30-261', '2': '262-398'}",1.0,{'1': '37-951'},7.0,"{'1': '676-942', '2': '113-132', '3': '160-181', '4': '183-205', '5': '208-229', '6': '303-324', '7': '405-590'}",,,2.0,"{'1': '672-949', '2': '794-806'}",1.0,{'1': '672-943'},,
C0LGQ9,1.0,{'1': '773-1050'},2.0,"{'1': '21-263', '2': '264-622'}",1.0,{'1': '8-1053'},11.0,"{'1': '774-973', '2': '264-284', '3': '288-305', '4': '312-330', '5': '338-354', '6': '360-378', '7': '403-422', '8': '430-486', '9': '500-559', '10': '22-67', '11': '112-222'}",,,1.0,{'1': '770-1053'},8.0,"{'1': '93-116', '2': '117-141', '3': '165-189', '4': '213-237', '5': '286-308', '6': '309-333', '7': '522-545', '8': '546-570'}",,
C0LGT1,1.0,{'1': '270-565'},1.0,{'1': '27-210'},1.0,{'1': '73-566'},4.0,"{'1': '293-564', '2': '143-165', '3': '28-67', '4': '95-131'}",,,3.0,"{'1': '290-569', '2': '413-425', '3': '296-318'}",5.0,"{'1': '290-564', '2': '93-116', '3': '117-140', '4': '141-164', '5': '165-189'}",,
C0LGT6,1.0,{'1': '688-993'},4.0,"{'1': '27-178', '2': '179-262', '3': '263-329', '4': '330-633'}",1.0,{'1': '405-994'},10.0,"{'1': '714-933', '2': '345-367', '3': '371-392', '4': '394-416', '5': '418-440', '6': '442-464', '7': '490-512', '8': '561-583', '9': '29-68', '10': '88-323'}",,,3.0,"{'1': '712-1001', '2': '845-857', '3': '718-741'}",9.0,"{'1': '712-1001', '2': '96-120', '3': '168-191', '4': '192-216', '5': '265-288', '6': '392-415', '7': '416-439', '8': '440-464', '9': '583-608'}",,
C0LGW6,1.0,{'1': '629-914'},3.0,"{'1': '25-189', '2': '190-280', '3': '291-573'}",1.0,{'1': '331-915'},13.0,"{'1': '652-910', '2': '96-118', '3': '217-238', '4': '242-262', '5': '288-309', '6': '314-333', '7': '336-357', '8': '360-381', '9': '407-428', '10': '503-525', '11': '139-179', '12': '431-490', '13': '27-67'}",,,3.0,"{'1': '648-921', '2': '769-781', '3': '654-676'}",11.0,"{'1': '648-915', '2': '94-118', '3': '142-165', '4': '166-190', '5': '214-238', '6': '285-309', '7': '333-356', '8': '357-381', '9': '405-429', '10': '453-476', '11': '501-525'}",,
C0SUU8,,,,,1.0,{'1': '60-870'},1.0,{'1': '721-820'},,,1.0,{'1': '614-837'},1.0,{'1': '595-837'},,
C0SV51,,,,,1.0,{'1': '15-476'},3.0,"{'1': '329-388', '2': '257-323', '3': '98-245'}",,,,,,,,
C0Z361,3.0,"{'1': '235-426', '2': '191-254', '3': '61-574'}",3.0,"{'1': '242-423', '2': '188-460', '3': '57-575'}",1.0,{'1': '51-583'},1.0,{'1': '74-576'},5.0,"{'1': '78-104', '2': '134-161', '3': '318-341', '4': '400-425', '5': '448-469'}",1.0,{'1': '455-466'},,,1.0,{'1': '52-579'}
C6KIE6,2.0,"{'1': '490-628', '2': '465-795'}",2.0,"{'1': '497-631', '2': '464-797'}",1.0,{'1': '22-387'},1.0,{'1': '460-805'},,,1.0,{'1': '461-853'},1.0,{'1': '443-805'},,
E5KGE0,,,1.0,{'1': '191-306'},,,2.0,"{'1': '225-285', '2': '64-160'}",,,2.0,"{'1': '208-301', '2': '174-214'}",1.0,{'1': '224-273'},,
F4HQA1,,,,,1.0,{'1': '172-587'},1.0,{'1': '194-516'},,,,,,,,
F4HRT5,,,,,1.0,{'1': '45-1132'},1.0,{'1': '48-344'},,,,,,,,
F4HW92,3.0,"{'1': '669-735', '2': '43-123', '3': '157-234'}",2.0,"{'1': '55-122', '2': '177-234'}",1.0,{'1': '50-722'},3.0,"{'1': '68-119', '2': '182-233', '3': '251-460'}",,,2.0,"{'1': '70-112', '2': '184-226'}",2.0,"{'1': '68-121', '2': '182-235'}",,
F4HWC3,,,,,1.0,{'1': '220-1353'},1.0,{'1': '1209-1244'},,,,,,,,
F4HWU0,1.0,{'1': '40-344'},,,1.0,{'1': '38-350'},1.0,{'1': '72-344'},,,3.0,"{'1': '68-348', '2': '194-206', '3': '74-97'}",1.0,{'1': '68-348'},,
F4HXQ7,,,,,1.0,{'1': '248-1112'},1.0,{'1': '892-982'},,,1.0,{'1': '888-986'},,,,
F4HXZ1,,,1.0,{'1': '6-370'},,,2.0,"{'1': '10-388', '2': '425-709'}",,,1.0,{'1': '5-403'},1.0,{'1': '9-393'},,
F4HY56,1.0,{'1': '31-96'},,,1.0,{'1': '10-1703'},5.0,"{'1': '40-96', '2': '731-798', '3': '550-605', '4': '1099-1172', '5': '933-975'}",,,3.0,"{'1': '37-97', '2': '731-800', '3': '549-608'}",2.0,"{'1': '39-101', '2': '549-608'}",,
F4HYF3,1.0,{'1': '54-369'},2.0,"{'1': '54-366', '2': '92-204'}",1.0,{'1': '32-377'},1.0,{'1': '56-363'},,,,,,,1.0,{'1': '54-375'}
F4HYK7,1.0,{'1': '129-428'},,,,,1.0,{'1': '155-428'},,,1.0,{'1': '147-429'},,,,
F4HZB2,5.0,"{'1': '1124-1237', '2': '237-630', '3': '693-989', '4': '3298-3581', '5': '2957-3244'}",4.0,"{'1': '485-988', '2': '2763-2926', '3': '3321-3599', '4': '2956-3244'}",1.0,{'1': '45-3574'},5.0,"{'1': '2965-3244', '2': '3328-3357', '3': '3374-3408', '4': '2875-2926', '5': '749-989'}",,,4.0,"{'1': '2952-3244', '2': '3376-3417', '3': '3395-3409', '4': '2760-2927'}",5.0,"{'1': '2964-3244', '2': '3317-3358', '3': '3369-3408', '4': '3464-3498', '5': '3531-3570'}",,
F4I0P8,1.0,{'1': '209-520'},1.0,{'1': '466-775'},1.0,{'1': '7-789'},1.0,{'1': '13-747'},,,,,,,,
F4I2J8,,,,,,,3.0,"{'1': '194-260', '2': '301-435', '3': '592-716'}",,,,,,,,
F4I5R5,,,,,,,1.0,{'1': '256-849'},,,,,,,,
F4I907,2.0,"{'1': '228-353', '2': '68-228'}",1.0,{'1': '230-357'},1.0,{'1': '56-351'},2.0,"{'1': '68-227', '2': '230-349'}",,,,,,,,
F4I9J7,1.0,{'1': '87-200'},1.0,{'1': '41-186'},1.0,{'1': '8-195'},1.0,{'1': '97-163'},4.0,"{'1': '49-61', '2': '86-100', '3': '142-158', '4': '160-172'}",1.0,{'1': '95-173'},1.0,{'1': '96-169'},,
