A0A178W0K0	IPR002848	Translin family	PF01997	100	292
A0A178W0K0	IPR002848	Translin family	PTHR10741	76	294
A0A178W0K0	IPR016068	Translin, N-terminal	G3DSA:1.20.58.190	72	208
A0A178W0K0	IPR016069	Translin, C-terminal	G3DSA:1.20.58.200	209	304
A0A178W0K0	IPR033956	Translin	cd14819	90	292
A0A178W0K0	IPR036081	Translin superfamily	SSF74784	83	293
A0A178WGK2	IPR008258	Transglycosylase SLT domain 1	PF01464	84	191
A0A178WGK2	IPR023346	Lysozyme-like domain superfamily	SSF53955	83	219
A0A178WGK2	IPR023346	Lysozyme-like domain superfamily	SSF53955	291	397
A0A1I9LLM0	IPR019358	NEMP family	PF10225	163	442
A0A1I9LMG5	IPR019337	Telomere length regulation protein, conserved domain	PF10193	615	726
A0A1I9LMG5	IPR038528	TEL2, C-terminal domain superfamily	G3DSA:1.25.40.720	608	747
A0A1I9LMG5	IPR051970	Telomere Length Regulation TEL2	PTHR15830	6	978
A0A1I9LMG5	IPR057348	TELO2, ARM repeat domain	PF25320	266	506
A0A1I9LNN0	IPR001680	WD40 repeat	PS50082	242	276
A0A1I9LNN0	IPR001680	WD40 repeat	SM00320	51	90
A0A1I9LNN0	IPR001680	WD40 repeat	SM00320	135	184
A0A1I9LNN0	IPR001680	WD40 repeat	SM00320	193	230
A0A1I9LNN0	IPR001680	WD40 repeat	SM00320	235	274
A0A1I9LNN0	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	G3DSA:2.130.10.10	3	282
A0A1I9LNN0	IPR036322	WD40-repeat-containing domain superfamily	SSF50978	23	280
A0A1I9LNN0	IPR045160	Autophagy-related protein 16	PTHR19878	235	1561
A0A1I9LPS6	IPR035985	Ubiquitin-activating enzyme-like	SSF69572	5	67
A0A1I9LPS6	IPR042449	Ubiquitin-activating enzyme E1, inactive adenylation domain, subdomain 1	G3DSA:3.50.50.80	2	72
A0A1I9LPS6	IPR045886	ThiF/MoeB/HesA family	PTHR10953	2	66
A0A1I9LR82	IPR001878	Zinc finger, CCHC-type	PF00098	24	40
A0A1I9LR82	IPR001878	Zinc finger, CCHC-type	PS50158	25	40
A0A1I9LR82	IPR001878	Zinc finger, CCHC-type	SM00343	24	40
A0A1I9LR82	IPR012923	Chromosome segregation in meiosis protein 3	PF07962	90	171
A0A1I9LR82	IPR036875	Zinc finger, CCHC-type superfamily	SSF57756	8	44
A0A1I9LR82	IPR040038	TIPIN/Csm3/Swi3	PTHR13220	18	296
A0A1I9LSA3	IPR027923	Hydrophobic seed protein domain	PF14547	266	350
A0A1I9LSA3	IPR027923	Hydrophobic seed protein domain	cd01958	266	349
A0A1I9LSA3	IPR036312	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily	G3DSA:1.10.110.10	266	351
A0A1I9LSA3	IPR036312	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain superfamily	SSF47699	269	350
A0A1I9LSA3	IPR051636	Plant lipid transfer/defense-related protein	PTHR31731	24	349
A0A1I9LSH2	IPR008969	Carboxypeptidase-like, regulatory domain superfamily	SSF49464	332	396
A0A1I9LSH2	IPR013783	Immunoglobulin-like fold	G3DSA:2.60.40.10	147	220
A0A1I9LSH2	IPR051417	Serine-Aspartate Repeat-Containing	PTHR23303	8	1188
A0A1I9LSH2	IPR055073	NOMO-like, ninth beta-sandwich domain	PF22902	772	842
A0A1I9LSH2	IPR055075	NOMO-like, N-terminal beta-sandwich domain	PF22898	48	125
A0A1I9LSH2	IPR055576	Domain of unknown function DUF7152	PF23662	1037	1136
