UniProtKB-AC,PROSITE_PROFILE_Ndomains,PROSITE_PROFILE_domains,Gene3D_Ndomains,Gene3D_domains,PANTHER_Ndomains,PANTHER_domains,Pfam_Ndomains,Pfam_domains,SUPERFAMILY_Ndomains,SUPERFAMILY_domains,PROSITE_PATTERN_Ndomains,PROSITE_PATTERN_domains,SMART_Ndomains,SMART_domains,TIGRFAM_Ndomains,TIGRFAM_domains
D6VTK4,7.0,"{'1': '52-73', '2': '79-103', '3': '130-153', '4': '163-186', '5': '206-230', '6': '246-269', '7': '278-299'}",1.0,{'1': '31-110'},1.0,{'1': '4-424'},,,,,,,,,,
O13297,,,1.0,{'1': '239-549'},1.0,{'1': '15-535'},1.0,{'1': '279-497'},1.0,{'1': '240-538'},,,,,,
O13516,,,1.0,{'1': '106-163'},1.0,{'1': '11-179'},2.0,"{'1': '8-106', '2': '107-150'}",,,1.0,{'1': '105-129'},2.0,"{'1': '6-106', '2': '107-171'}",1.0,{'1': '4-164'}
O13525,,,,,1.0,{'1': '79-310'},1.0,{'1': '84-305'},,,,,,,,
O13539,,,,,,,1.0,{'1': '115-243'},,,,,,,,
O13547,,,,,,,1.0,{'1': '21-84'},,,1.0,{'1': '1-110'},1.0,{'1': '20-84'},,
O13563,,,1.0,{'1': '6-101'},1.0,{'1': '5-153'},1.0,{'1': '8-121'},,,1.0,{'1': '2-132'},,,,
O13585,,,1.0,{'1': '47-166'},1.0,{'1': '22-818'},2.0,"{'1': '557-606', '2': '673-725'}",1.0,{'1': '68-164'},1.0,{'1': '360-745'},1.0,{'1': '556-728'},,
O14455,,,1.0,{'1': '1-100'},1.0,{'1': '3-99'},1.0,{'1': '5-99'},,,1.0,{'1': '52-62'},,,,
O14464,,,,,1.0,{'1': '10-93'},1.0,{'1': '56-93'},1.0,{'1': '56-93'},1.0,{'1': '66-92'},,,1.0,{'1': '57-93'}
O14467,,,1.0,{'1': '69-151'},,,2.0,"{'1': '86-137', '2': '2-76'}",1.0,{'1': '80-136'},1.0,{'1': '85-139'},1.0,{'1': '84-139'},,
O60200,,,,,1.0,{'1': '2-81'},1.0,{'1': '7-75'},,,,,,,,
O75012,,,,,1.0,{'1': '10-92'},1.0,{'1': '30-63'},,,,,,,,
O94742,,,,,1.0,{'1': '15-86'},1.0,{'1': '22-82'},,,,,1.0,{'1': '21-83'},,
P00044,6.0,"{'1': '19-26', '2': '32-47', '3': '48-58', '4': '62-78', '5': '81-91', '6': '98-106'}",1.0,{'1': '4-109'},1.0,{'1': '3-106'},1.0,{'1': '9-106'},1.0,{'1': '6-105'},1.0,{'1': '7-108'},,,,
P00127,,,1.0,{'1': '74-147'},,,1.0,{'1': '76-147'},1.0,{'1': '74-147'},,,,,,
P00128,,,1.0,{'1': '2-127'},1.0,{'1': '18-124'},1.0,{'1': '20-117'},1.0,{'1': '4-126'},,,,,,
P00331,,,,,,,2.0,"{'1': '182-310', '2': '30-141'}",2.0,"{'1': '8-166', '2': '145-316'}",1.0,{'1': '66-80'},1.0,{'1': '14-344'},,
P00358,5.0,"{'1': '109-122', '2': '144-162', '3': '171-187', '4': '228-245', '5': '268-283'}",,,1.0,{'1': '2-331'},2.0,"{'1': '2-102', '2': '155-312'}",1.0,{'1': '1-168'},1.0,{'1': '148-155'},1.0,{'1': '2-150'},1.0,{'1': '3-324'}
P00359,5.0,"{'1': '109-122', '2': '144-162', '3': '171-187', '4': '228-245', '5': '268-283'}",,,1.0,{'1': '2-331'},2.0,"{'1': '2-102', '2': '155-312'}",1.0,{'1': '1-168'},1.0,{'1': '148-155'},1.0,{'1': '2-150'},1.0,{'1': '3-324'}
P00360,5.0,"{'1': '109-122', '2': '144-162', '3': '171-187', '4': '228-245', '5': '268-283'}",,,1.0,{'1': '2-331'},2.0,"{'1': '2-102', '2': '155-312'}",1.0,{'1': '1-168'},1.0,{'1': '148-155'},1.0,{'1': '2-150'},1.0,{'1': '3-324'}
